lambda,sigma_c_data_MPa,sigma_c_fit_MPa
1.0,0.003885003885003885,0.0
1.002754,0.0038957031857031854,0.005412955552107334
1.0063655,0.0052129785029785035,0.012399765555586742
1.0098655,0.006538885651385653,0.019053632452900503
1.0132915,0.011809924242424243,0.02545854324265013
1.016675,0.021065527065527067,0.03168206837940233
1.0200355,0.03038178774928775,0.03776602440637856
1.0233825,0.03843316822066822,0.04373204406336493
1.026722,0.04520661486661487,0.04959443391904426
1.0300585,0.05202315656565657,0.05536415040340826
1.0333925,0.05888276353276354,0.06104481341096352
1.036731,0.0657858313908314,0.06665073515509623
1.0400655,0.07138496697746698,0.07217000373969715
1.043402,0.07701879564879566,0.07761492732342282
1.0467345,0.08268687451437451,0.08297801133744019
1.0500665,0.08838943602693604,0.08826719541236488
1.053395,0.09412620435120436,0.09347993051048564
1.056731,0.09852969696969699,0.09863533852723526
1.0600665,0.10433184926184927,0.10372280090741594
1.063403,0.110168660968661,0.10874649356967937
1.0667355,0.11465817987567989,0.113700816577644
1.0700685,0.11917364801864802,0.11859434214458119
1.0734,0.12371484071484072,0.12342588721356428
1.0767355,0.1296767696192696,0.12820503679696488
1.0800615,0.13427337995337996,0.13291420936482018
1.0833949999999999,0.13889679487179488,0.13757909729498327
1.0867325,0.14354663947163948,0.14219604727211116
1.09007,0.14822241647241652,0.14676091492317003
1.093403,0.15292349650349651,0.15126908826165095
1.0967355,0.15623012820512822,0.1557274838603624
1.1000655,0.1609782459207459,0.1601348406042326
1.103396,0.1657523128723129,0.16449647973357456
1.10673,0.17055279720279723,0.16881751770219938
1.1100665,0.1739420441595442,0.17309777296018353
1.113402,0.17879027195027195,0.1773339264666414
1.1167335,0.18221758741258742,0.18152342728247803
1.1200675,0.18711306332556335,0.1856756067373505
1.123401,0.19057955322455325,0.1897877885241325
1.1267335,0.19552225977725982,0.19386044652045253
1.1300625,0.19902680652680654,0.19789163408467006
1.133396,0.204017150997151,0.20189202484443997
1.1367325,0.20756187839937837,0.20586067290265836
1.140071,0.2111242592592593,0.20979726019484837
1.143404,0.21470290080290083,0.21369391900576204
1.1467365,0.2197837373737374,0.21755747952296423
1.1500655,0.2234004467754468,0.2213853890294911
1.1534,0.22703548303548304,0.22518881209928812
1.156729,0.23068669515669518,0.2289560208004799
1.1600675,0.23435707070707074,0.2327047352735253
1.163402,0.23804392126392132,0.2364205015568077
1.1667365,0.2417480445480446,0.24010858375069083
1.1700685,0.24546891608391608,0.2437669812783034
1.173401,0.2492071535871536,0.24739972523625176
1.1767335,0.2529626534576535,0.25100695806123097
1.1800635,0.2567348717948718,0.25458667593822987
1.1833960000000001,0.2605248899248899,0.2581449096040688
1.1867325,0.26433306138306134,0.2616838295905622
1.190071,0.26815896658896665,0.2652018748117596
1.193401,0.27200022792022793,0.26868865253011104
1.1967365,0.2743102311577312,0.27215944132589653
1.2000655,0.2781814614089614,0.27560233610058166
1.2033960000000001,0.28207028749028756,0.27902621468987765
1.206728,0.2859767210567211,0.2824315914189764
1.2100675,0.28990221121471127,0.2858250474416434
1.213401,0.2922721911421911,0.2891933671694898
1.2167375,0.29622720797720803,0.29254617299702784
1.2200675,0.3001979085729086,0.2958744355764678
1.223402,0.3026026702926703,0.29918964119920255
1.2267325,0.30660369399119397,0.3024837978104652
1.2300665,0.30902991582491585,0.30576477883660447
1.2333935,0.3130602512302512,0.3090227158108265
1.2367325,0.3171108974358975,0.3122766072804034
1.2400685,0.31957217236467245,0.3155121904490351
1.243404,0.3236521678321679,0.3187323224788975
1.2467355,0.3261338655788656,0.32193405155592086
1.2500655,0.33024263403263404,0.325120202446567
1.253397,0.33274590132090137,0.3282940220596374
1.25673,0.33688566433566425,0.331455859297232
1.2600665,0.33941185185185185,0.33460794051015985
1.263401,0.3435822455322456,0.33774541121387947
1.2667365,0.34612976107226107,0.34087144169399214
1.2700675000000001,0.3503294191919193,0.34398122945446075
1.273401,0.352897972027972,0.34708164505665134
1.2767335,0.3554748802123802,0.3501697419017653
1.2800635,0.3597174041699042,0.353244456409064
1.283395,0.3623156047656048,0.35630978796666185
1.2867325,0.36492413558663556,0.3593701354783057
1.29007,0.3692119528619529,0.3624202570806913
1.293405,0.3718413752913753,0.3654581606422749
1.2967355,0.3744781358456359,0.3684823291666714
1.3000665,0.3788072552447553,0.3714975869265899
1.303397,0.3814655814555814,0.3745032890679783
1.3067345,0.3841345914270915,0.37750643271005735
1.3100654999999999,0.38681032634032636,0.38049511707744715
1.313402,0.3911971768971769,0.3834803563269207
1.3167365,0.3938955341880342,0.38645566459315334
1.3200699999999999,0.3966022274022274,0.38942217726367506
1.323401,0.39931680005180004,0.39237879828174343
1.3267335,0.4037585761460762,0.3953293027269649
1.3300625,0.40649410774410766,0.3982694861982202
1.333396,0.40923964257964257,0.401206622290872
1.3367335,0.4119950440300441,0.4041404506389793
1.3400685,0.41475831585081596,0.40706545521466814
1.343405,0.4192704027454027,0.4099853452197718
1.3467335,0.42205323361823366,0.41289201835736716
1.3500645,0.424845472027972,0.4157948476804477
1.353397,0.42764681170681174,0.4186931351473678
1.356732,0.43045757575757576,0.4215879204955331
1.3600645,0.43327618104118115,0.4244750402072922
1.363402,0.43610501683501685,0.4273611587728457
1.3667354999999999,0.4389412121212121,0.4302386600576984
1.3700695,0.44356044418544427,0.43311160195955684
1.373399,0.44641692437192443,0.4359758462262986
1.3767335,0.4492836596736597,0.4388397223771288
1.3800625,0.45215722934472935,0.44169436778486293
1.3834,0.4550422170422171,0.4445519331256404
1.386731,0.4579337024087024,0.44739971961553654
1.3900695,0.46083630147630156,0.4502498399186505
1.393404,0.463746216006216,0.45309261219616653
1.3967355,0.46666376456876457,0.45592904037949367
1.4000645,0.46958910321160324,0.4587596953085198
1.4033959999999999,0.47252390572390573,0.46158896149545436
1.406731,0.47546851981351984,0.464417809234939
1.4100665000000001,0.47842194120694126,0.46724381576567936
1.413402,0.48138400155400163,0.47006668218592246
1.4167355,0.4843540170940171,0.47288484145999876
1.4200695,0.48733283799533805,0.4757005293668941
1.423399,0.49031874384874385,0.4785096459165129
1.426732,0.49331448329448335,0.4813190572152742
1.4300635,0.4963183346283347,0.484124659186398
1.433398,0.49933185962185955,0.48693035053255107
1.4367325,0.5023540209790209,0.48973371235682084
1.4400695000000001,0.5053856960631962,0.49253695047680174
1.443405,0.5084254856254857,0.4953368082246966
1.4467375,0.5114728535353535,0.49813213305477
1.4500645,0.5145269010619011,0.5009209355376195
1.453398,0.5175918803418804,0.5037133717374681
1.456729,0.518778133903134,0.5065019953782202
1.4600695,0.5218585625485626,0.5092969419443791
1.4634,0.5249440559440559,0.5120819891317796
1.4667365,0.5280403354053355,0.5148706103724823
1.4700685,0.5311436305361307,0.5176541180307218
1.473402,0.5342560994560995,0.5204376137419793
1.476732,0.5373759285159285,0.5232170092742003
1.4800625,0.5405045648795649,0.5259957288470027
1.483397,0.5436432931882933,0.5287767729856999
1.4867325,0.5467910256410257,0.5315577185412621
1.4900695000000002,0.5480183087283088,0.5343390611385922
1.493404,0.5511786324786325,0.53711754547362
1.4967365,0.5543468518518518,0.5398936664349334
1.5000645000000001,0.55752202991453,0.5426654184957315
1.503397,0.560707505827506,0.5454403711433597
1.506729,0.5639014257964258,0.5482144323767423
1.5100665,0.5671060411810412,0.5509926678182179
1.5134,0.5683579383579385,0.5537672391472166
1.5167365,0.5715751379176379,0.5565440416886426
1.5200695,0.5747996555296555,0.5593177334076981
1.523402,0.5780326159026159,0.5620908775092778
1.5267309999999998,0.5812728749028748,0.5648610427261269
1.5300635,0.5845230931105931,0.5676341178499216
1.5333945,0.5857956196581197,0.5704060049618684
1.5367355,0.5890620409220411,0.573186335983609
1.5400675,0.5923336538461539,0.575959360198475
1.543404,0.5956156332556333,0.5787363722510049
1.5467365000000002,0.5989047053872055,0.581510356165361
1.5500665,0.6001940993265994,0.5842826171820361
1.5533945,0.6034943667443669,0.5870536272483172
1.556729,0.6068057873607874,0.5898305202233748
1.5600675,0.6101274087024088,0.5926112712715982
1.563402,0.6134561072261072,0.5953892708481696
1.5667365,0.6147645163170163,0.5981679033383718
1.5700695,0.6181055788655789,0.6009459704186942
1.5734029999999999,0.6214554713804714,0.6037251899720135
1.57673,0.6248114219114218,0.6064997741042021
1.5800615,0.6281777784252784,0.6092789450487303
1.5833945,0.6295028638953639,0.6120602510700504
1.5867345,0.6328855555555556,0.6148483332406115
1.5900685,0.6362744968919971,0.6176323873950844
1.5934059999999999,0.6396734783734783,0.620420391921923
1.5967375000000001,0.6410109103859104,0.6232044554138847
1.6000675,0.6444198297073297,0.6259883796337872
1.6033944999999998,0.6478361616161616,0.6287709523018664
1.60673,0.6512645558145559,0.6315618379059437
1.6100664999999998,0.6526169573944574,0.6343548090653341
1.613405,0.6560595312095312,0.6371507468701256
1.6167345000000002,0.6595070804195805,0.6399404764128791
1.6200695,0.6629655037555039,0.6427361857601801
1.6234009999999999,0.6643288215488217,0.6455303716818817
1.626733,0.6677989652939653,0.648326426702368
1.6300615,0.6712762975912977,0.651121031129616
1.6333955,0.6747645227920228,0.6539217810607209
1.636733,0.6761432621082621,0.6567270404714005
1.6400695,0.6796454804454806,0.6595330661149282
1.6434039999999999,0.6831555089355088,0.6623390515816611
1.646734,0.6866722973322974,0.6651429244271548
1.6500655000000002,0.6880615009065011,0.667949769965653
1.6533935,0.6915903917378918,0.6707554090317244
1.65673,0.6951314685314686,0.6735699966238161
1.6600665,0.6965313986013986,0.6763864033080185
1.663402,0.7000850168350169,0.6792038177974127
1.6667355000000001,0.7036464296814297,0.682021426037681
1.6700694999999999,0.7072166880341881,0.6848413724893964
1.6734010000000001,0.7086274630924633,0.6876611501016109
1.676733,0.7122098212898214,0.6904833279679318
1.6800615,0.7157993181818182,0.6933045465867391
1.6833955,0.7193997863247864,0.6961324668817344
1.686732,0.7208256410256411,0.698964581984465
1.690073,0.7244420655270654,0.7018026261716233
1.693403,0.7280624138824139,0.7046334562021124
1.6967365,0.7294956203056204,0.7074694204301235
1.7000655,0.7331284790209791,0.7103037405432006
1.7033969999999998,0.7367710411810412,0.7131424026499664
1.706729,0.7404224488474488,0.7159837334903644
1.7100655,0.7418699074074074,0.7188311766602564
1.7134019999999999,0.7455362237762237,0.7216809236062967
1.7167355,0.7492098724423726,0.72453043572847
1.7200695000000001,0.7506648815073818,0.7273827287190149
1.723401,0.754350606060606,0.7302352599893964
1.7267329999999999,0.7580451787101786,0.7330906218159103
1.7300615000000001,0.7617468401968402,0.7359454084843183
1.733396,0.763215022015022,0.7388077957477549
1.736733,0.7669333760683762,0.7416748133410618
1.7400705,0.7706605944055946,0.7445447708083586
1.743403,0.772136526806527,0.747412957696392
1.7467375,0.7758753723128723,0.7502854191150518
1.7500655,0.7796199585599586,0.7531548511219484
1.753397,0.7811040766640767,0.7560298954835049
1.756729,0.7848633838383839,0.7589079907779772
1.7600665,0.7886337852887854,0.7617934856141266
1.763401,0.7901278761978763,0.7646790565115645
1.7667385,0.79391123996374,0.7675699178023423
1.7700675000000001,0.7976994172494174,0.7704561235653925
1.773402,0.8014987024087025,0.7733498294956326
1.7767330000000001,0.8030041660191661,0.776243248994784
1.7800645,0.8068150414400415,0.7791398738383984
1.7833934999999999,0.8106334090909091,0.7820371138021703
1.786732,0.8121509090909091,0.784945441842026
1.7900705000000001,0.8159865527065528,0.7878566144014802
1.793403,0.8198281002331003,0.7907654118321414
1.7967365,0.8236787373737373,0.7936779574660082
1.8000655,0.8252048523698524,0.7965894607845323
1.803397,0.8290675148925148,0.7995060605440834
1.806729,0.8329390365190367,0.8024260287797641
1.8100665,0.8344776923076924,0.8053537739851361
1.8134000000000001,0.8383628593628595,0.8082809831300711
1.8167365,0.842258051023051,0.8112138201477259
1.8200675,0.8438023374773375,0.8141448282160828
1.823402,0.8477095545195545,0.8170819418771347
1.8267319999999998,0.85162331002331,0.8200181309037341
1.8300645,0.855546858974359,0.8229595822759433
1.8333945,0.8571036188811189,0.825901900042911
1.836733,0.8610429241129243,0.8288548290923387
1.8400685,0.8649894658119659,0.831808222268139
1.8434059999999999,0.866558376068376,0.8347665222295904
1.8467355,0.8705150505050505,0.8377208732984932
1.8500665,0.8744810573685574,0.8406797122634115
1.8533955,0.8784547435897437,0.8436399456447221
1.856731,0.8800356721056722,0.8466091543596629
1.8600655000000001,0.8840249138824141,0.8495806858356372
1.863401,0.8880232685832685,0.8525563381126238
1.8667355,0.8896123594923594,0.8555343425279022
1.8700675,0.893621998834499,0.8585133697203908
1.873402,0.8976414659414661,0.8614979052431543
1.876733,0.8992375161875162,0.864482592378918
1.8800645,0.9032684919709921,0.8674710256998586
1.8833945,0.9073073737373737,0.8704614243776782
1.8867319999999999,0.911358502978503,0.8734618941301532
1.8900705000000002,0.9129711169386171,0.8764666185814172
1.893405,0.9170337606837609,0.8794711074165431
1.896735,0.9211028554778555,0.8824749113863068
1.9000664999999999,0.9227207167832168,0.8854834521646431
1.9033955,0.9268022636622637,0.8884931297979568
1.9067310000000002,0.9308956060606062,0.8915121008223867
1.9100655,0.934997097902098,0.8945335989988207
1.913402,0.9366303496503497,0.8975603577319786
1.9167364999999998,0.9407447986272988,0.9005887616779524
1.9200715,0.94486813001813,0.9036210921969454
1.9234010000000001,0.9489973853923855,0.9066518990316473
1.926733,0.9506413791763793,0.9096884726808083
1.9300625,0.954783572908573,0.9127262692053074
1.9333969999999998,0.9589368699818699,0.9157721481110895
1.936731,0.9605904856254855,0.9188211051197475
1.9400695,0.9647587257187257,0.9218777315659998
1.9434040000000001,0.9689336182336183,0.924934258229056
1.946734,0.9731148976948977,0.9279902253381591
1.9500655,0.9747802162652163,0.9310511463589894
1.9533960000000001,0.9789746853146855,0.9341147370573465
1.9567299999999999,0.9831795389795391,0.9371851526643832
1.9600645,0.9873932795907795,0.9402596485732067
1.9634010000000002,0.9890740598290598,0.9433396235279454
1.9667355,0.9933007575757576,0.946421396584967
1.9700705,0.9975363448588451,0.9495072872177824
1.9734,1.0017777777777777,0.9525917466538123
1.9767329999999999,1.0034697435897435,0.9556831203998387
1.9800624999999998,1.0077241161616162,0.9587749269762065
1.983397,1.0119896632996634,0.9618750730322838
1.986731,1.0162635910385913,0.9649784634867556
1.9900705,1.0179718304843308,0.9680907024984142
1.993404,1.0222584615384616,0.9712010825388241
1.9967375,1.0265537263662263,0.9743152025378431
2.0000644999999997,1.0308542747992748,0.9774269897959263
2.00013,1.0308880341880344,0.9774882903839162
2.000604,1.0259507692307694,0.9779319440268869
