

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
3.000, 0.33, 1, , 0.163, 1
3.020, 0.29, 1, , 0.165, 1
3.040, 0.30, 1, , 0.166, 1
3.060, 0.31, 1, , 0.168, 1
3.080, 0.32, 1, , 0.170, 1
3.100, 0.29, 1, , 0.172, 1
3.120, 0.28, 1, , 0.173, 1
3.140, 0.32, 1, , 0.175, 1
3.160, 0.30, 1, , 0.177, 1
3.180, 0.29, 1, , 0.178, 1
3.200, 0.33, 1, , 0.179, 1
3.220, 0.29, 1, , 0.182, 1
3.240, 0.28, 1, , 0.183, 1
3.260, 0.29, 1, , 0.184, 1
3.280, 0.30, 1, , 0.186, 1
3.300, 0.31, 1, , 0.188, 1
3.320, 0.30, 1, , 0.189, 1
3.340, 0.32, 1, , 0.192, 1
3.360, 0.28, 1, , 0.194, 1
3.380, 0.32, 1, , 0.194, 1
3.400, 0.30, 1, , 0.196, 1
3.420, 0.29, 1, , 0.198, 1
3.440, 0.28, 1, , 0.199, 1
3.460, 0.31, 1, , 0.201, 1
3.480, 0.30, 1, , 0.203, 1
3.500, 0.30, 1, , 0.205, 1
3.520, 0.30, 1, , 0.206, 1
3.540, 0.34, 1, , 0.208, 1
3.560, 0.30, 1, , 0.210, 1
3.580, 0.28, 1, , 0.211, 1
3.600, 0.30, 1, , 0.213, 1
3.620, 0.31, 1, , 0.215, 1
3.640, 0.30, 1, , 0.217, 1
3.660, 0.32, 1, , 0.218, 1
3.680, 0.31, 1, , 0.220, 1
3.700, 0.30, 1, , 0.221, 1
3.720, 0.31, 1, , 0.222, 1
3.740, 0.30, 1, , 0.225, 1
3.760, 0.29, 1, , 0.227, 1
3.780, 0.28, 1, , 0.228, 1
3.800, 0.33, 1, , 0.229, 1
3.820, 0.30, 1, , 0.232, 1
3.840, 0.30, 1, , 0.233, 1
3.860, 0.32, 1, , 0.235, 1
3.880, 0.30, 1, , 0.236, 1
3.900, 0.32, 1, , 0.238, 1
3.920, 0.32, 1, , 0.240, 1
3.940, 0.30, 1, , 0.242, 1
3.960, 0.30, 1, , 0.243, 1
3.980, 0.30, 1, , 0.245, 1
4.000, 0.28, 1, , 0.246, 1
4.020, 0.30, 1, , 0.247, 1
4.040, 0.30, 1, , 0.250, 1
4.060, 0.31, 1, , 0.251, 1
4.080, 0.32, 1, , 0.253, 1
4.100, 0.31, 1, , 0.255, 1
4.120, 0.29, 1, , 0.257, 1
4.140, 0.32, 1, , 0.258, 1
4.160, 0.32, 1, , 0.260, 1
4.180, 0.31, 1, , 0.261, 1
4.200, 0.30, 1, , 0.263, 1
4.220, 0.31, 1, , 0.265, 1
4.240, 0.29, 1, , 0.267, 1
4.260, 0.32, 1, , 0.268, 1
4.280, 0.32, 1, , 0.270, 1
4.300, 0.30, 1, , 0.271, 1
4.320, 0.34, 1, , 0.273, 1
4.340, 0.35, 1, , 0.274, 1
4.360, 0.30, 1, , 0.277, 1
4.380, 0.31, 1, , 0.278, 1
4.400, 0.34, 1, , 0.280, 1
4.420, 0.31, 1, , 0.282, 1
4.440, 0.33, 1, , 0.283, 1
4.460, 0.34, 1, , 0.285, 1
4.480, 0.31, 1, , 0.287, 1
4.500, 0.32, 1, , 0.288, 1
4.520, 0.32, 1, , 0.289, 1
4.540, 0.32, 1, , 0.292, 1
4.560, 0.32, 1, , 0.293, 1
4.580, 0.31, 1, , 0.294, 1
4.600, 0.35, 1, , 0.296, 1
4.620, 0.32, 1, , 0.298, 1
4.640, 0.34, 1, , 0.299, 1
4.660, 0.33, 1, , 0.301, 1
4.680, 0.34, 1, , 0.304, 1
4.700, 0.31, 1, , 0.305, 1
4.720, 0.34, 1, , 0.306, 1
4.740, 0.32, 1, , 0.308, 1
4.760, 0.30, 1, , 0.310, 1
4.780, 0.32, 1, , 0.311, 1
4.800, 0.33, 1, , 0.313, 1
4.820, 0.31, 1, , 0.315, 1
4.840, 0.33, 1, , 0.316, 1
4.860, 0.33, 1, , 0.317, 1
4.880, 0.32, 1, , 0.320, 1
4.900, 0.33, 1, , 0.321, 1
4.920, 0.32, 1, , 0.323, 1
4.940, 0.33, 1, , 0.325, 1
4.960, 0.32, 1, , 0.326, 1
4.980, 0.35, 1, , 0.328, 1
5.000, 0.32, 1, , 0.330, 1
5.020, 0.34, 1, , 0.331, 1
5.040, 0.33, 1, , 0.333, 1
5.060, 0.34, 1, , 0.335, 1
5.080, 0.31, 1, , 0.336, 1
5.100, 0.36, 1, , 0.338, 1
5.120, 0.32, 1, , 0.340, 1
5.140, 0.33, 1, , 0.341, 1
5.160, 0.34, 1, , 0.343, 1
5.180, 0.32, 1, , 0.345, 1
5.200, 0.33, 1, , 0.346, 1
5.220, 0.34, 1, , 0.348, 1
5.240, 0.33, 1, , 0.350, 1
5.260, 0.31, 1, , 0.351, 1
5.280, 0.35, 1, , 0.353, 1
5.300, 0.26, 1, , 0.355, 1
5.320, 0.29, 1, , 0.356, 1
5.340, 0.34, 1, , 0.358, 1
5.360, 0.31, 1, , 0.360, 1
5.380, 0.31, 1, , 0.361, 1
5.400, 0.33, 1, , 0.362, 1
5.420, 0.31, 1, , 0.365, 1
5.440, 0.32, 1, , 0.366, 1
5.460, 0.32, 1, , 0.368, 1
5.480, 0.34, 1, , 0.370, 1
5.500, 0.33, 1, , 0.371, 1
5.520, 0.36, 1, , 0.373, 1
5.540, 0.30, 1, , 0.375, 1
5.560, 0.32, 1, , 0.376, 1
5.580, 0.33, 1, , 0.377, 1
5.600, 0.35, 1, , 0.380, 1
5.620, 0.34, 1, , 0.382, 1
5.640, 0.32, 1, , 0.383, 1
5.660, 0.35, 1, , 0.384, 1
5.680, 0.33, 1, , 0.387, 1
5.700, 0.33, 1, , 0.388, 1
5.720, 0.35, 1, , 0.390, 1
5.740, 0.35, 1, , 0.392, 1
5.760, 0.33, 1, , 0.394, 1
5.780, 0.33, 1, , 0.394, 1
5.800, 0.34, 1, , 0.397, 1
5.820, 0.33, 1, , 0.398, 1
5.840, 0.33, 1, , 0.399, 1
5.860, 0.35, 1, , 0.401, 1
5.880, 0.31, 1, , 0.403, 1
5.900, 0.32, 1, , 0.404, 1
5.920, 0.33, 1, , 0.406, 1
5.940, 0.36, 1, , 0.408, 1
5.960, 0.32, 1, , 0.410, 1
5.980, 0.35, 1, , 0.411, 1
6.000, 0.32, 1, , 0.414, 1
6.020, 0.33, 1, , 0.415, 1
6.040, 0.33, 1, , 0.416, 1
6.060, 0.34, 1, , 0.418, 1
6.080, 0.32, 1, , 0.420, 1
6.100, 0.34, 1, , 0.421, 1
6.120, 0.35, 1, , 0.423, 1
6.140, 0.32, 1, , 0.425, 1
6.160, 0.33, 1, , 0.426, 1
6.180, 0.34, 1, , 0.428, 1
6.200, 0.37, 1, , 0.430, 1
6.220, 0.34, 1, , 0.432, 1
6.240, 0.35, 1, , 0.433, 1
6.260, 0.34, 1, , 0.435, 1
6.280, 0.37, 1, , 0.437, 1
6.300, 0.33, 1, , 0.438, 1
6.320, 0.39, 1, , 0.439, 1
6.340, 0.34, 1, , 0.442, 1
6.360, 0.35, 1, , 0.443, 1
6.380, 0.34, 1, , 0.444, 1
6.400, 0.36, 1, , 0.446, 1
6.420, 0.34, 1, , 0.448, 1
6.440, 0.35, 1, , 0.449, 1
6.460, 0.36, 1, , 0.451, 1
6.480, 0.35, 1, , 0.453, 1
6.500, 0.34, 1, , 0.455, 1
6.520, 0.38, 1, , 0.456, 1
6.540, 0.35, 1, , 0.459, 1
6.560, 0.34, 1, , 0.460, 1
6.580, 0.37, 1, , 0.461, 1
6.600, 0.35, 1, , 0.463, 1
6.620, 0.36, 1, , 0.465, 1
6.640, 0.36, 1, , 0.466, 1
6.660, 0.36, 1, , 0.468, 1
6.680, 0.35, 1, , 0.470, 1
6.700, 0.34, 1, , 0.471, 1
6.720, 0.36, 1, , 0.472, 1
6.740, 0.36, 1, , 0.475, 1
6.760, 0.35, 1, , 0.477, 1
6.780, 0.35, 1, , 0.478, 1
6.800, 0.35, 1, , 0.480, 1
6.820, 0.35, 1, , 0.482, 1
6.840, 0.35, 1, , 0.483, 1
6.860, 0.38, 1, , 0.485, 1
6.880, 0.38, 1, , 0.487, 1
6.900, 0.37, 1, , 0.488, 1
6.920, 0.37, 1, , 0.489, 1
6.940, 0.37, 1, , 0.492, 1
6.960, 0.35, 1, , 0.493, 1
6.980, 0.35, 1, , 0.494, 1
7.000, 0.37, 1, , 0.496, 1
7.020, 0.36, 1, , 0.498, 1
7.040, 0.38, 1, , 0.499, 1
7.060, 0.39, 1, , 0.502, 1
7.080, 0.38, 1, , 0.504, 1
7.100, 0.37, 1, , 0.504, 1
7.120, 0.39, 1, , 0.506, 1
7.140, 0.37, 1, , 0.508, 1
7.160, 0.37, 1, , 0.509, 1
7.180, 0.38, 1, , 0.511, 1
7.200, 0.40, 1, , 0.513, 1
7.220, 0.36, 1, , 0.515, 1
