lambda,sigma_c_data_MPa,sigma_c_fit_MPa
1.0,0.0025900998613001525,0.0
1.002755,0.0038958533796270515,0.005414907526226891
1.0063665,0.00390988459810068,0.01240168296155435
1.0098655,0.0065391312287045224,0.019053632452900503
1.0132925,0.014434908200385666,0.025460397428734526
1.016675,0.02501625287662966,0.03168206837940233
1.0200355,0.0330249225883904,0.03776602440637856
1.0233825,0.03975994306960506,0.04373204406336493
1.026722,0.047867625176288675,0.04959443391904426
1.0300575,0.05335903575762364,0.05536243396404126
1.0333925,0.0602232698456689,0.06104481341096352
1.03673,0.06578823861553981,0.06664906808820396
1.0400655,0.07138764794326645,0.07217000373969715
1.043402,0.0770216882011886,0.07761492732342282
1.0467345,0.08268997993967658,0.08297801133744019
1.0500665,0.08839275562019294,0.08826719541236488
1.053395,0.09276554027540532,0.09347993051048564
1.056731,0.09853339739513658,0.09863533852723526
1.0600665,0.1029629285482102,0.10372280090741594
1.063403,0.10879563853084358,0.10874649356967937
1.0667355,0.11328101029435193,0.113700816577644
1.0700685,0.11779233162084565,0.11859434214458119
1.073401,0.1223294943736556,0.12342732867108956
1.0767355,0.12689278734891626,0.12820503679696488
1.0800615,0.13148095564324483,0.13291420936482018
1.083396,0.13609603572265733,0.13758048859823857
1.0867325,0.14073728487601841,0.14219604727211116
1.09007,0.14540459302408407,0.14676091492317003
1.093403,0.14868120532887144,0.15126908826165095
1.0967345,0.15339520132198697,0.15572615323550518
1.1000655,0.15813501219289508,0.1601348406042326
1.103396,0.16147167920059158,0.16449647973357456
1.10673,0.16625939073080961,0.16881751770219938
1.1100665,0.1696358021733528,0.17309777296018353
1.113402,0.1744712531291644,0.1773339264666414
1.1167335,0.17788575393274292,0.18152342728247803
1.1200685,0.18131807915604187,0.18567684617992122
1.123401,0.18622212955420497,0.1897877885241325
1.1267345,0.1896930666911863,0.19386166298168667
1.1300625,0.1931803318176932,0.19789163408467006
1.133396,0.1966857911006759,0.20189202484443997
1.1367335,0.20168134972693874,0.20586185716232086
1.140071,0.20522639285857666,0.20979726019484837
1.143403,0.20878772059556755,0.21369275481245237
1.1467355000000001,0.21236640135410426,0.21755632495396643
1.1500645,0.21596168789037665,0.22138424381819694
1.1534,0.2195754567317343,0.22518881209928812
1.156729,0.2232052498734089,0.2289560208004799
1.1600665000000001,0.22685395009654602,0.23270361670625356
1.163401,0.23051934480833908,0.23641939140407836
1.1667365,0.2342022136288465,0.24010858375069083
1.17007,0.23790195435985034,0.24376862226397217
1.173402,0.24161865441722108,0.2474008114689871
1.1767335,0.24382858201097943,0.25100695806123097
1.1800635,0.24757506692170514,0.25458667593822987
1.183397,0.2513395452561674,0.25814597377629406
1.1867325,0.2551217217429818,0.2616838295905622
1.190072,0.25892204705952443,0.26520292520693123
1.193401,0.2611918461066266,0.26868865253011104
1.1967345,0.2650210892405957,0.27215736661159656
1.2000655,0.26886704046124504,0.27560233610058166
1.2033960000000001,0.2711716757039568,0.27902621468987765
1.206729,0.27504827816636473,0.2824326104846374
1.2100665,0.2773760870325355,0.2858240341676538
1.2134019999999999,0.2812834954951688,0.28919437481138927
1.2167375,0.28520818251397684,0.29254617299702784
1.2200675,0.287568796289941,0.2958744355764678
1.223402,0.29152346824731834,0.29918964119920255
1.2267335,0.2939060098087082,0.30248478438135595
1.2300655,0.29789029696789965,0.3057637971905339
1.2333935,0.3002935593281799,0.3090227158108265
1.2367325,0.30430976428796214,0.3122766072804034
1.24007,0.30673694039273686,0.3155136419004169
1.243404,0.3107821609462153,0.3187323224788975
1.2467355,0.31322943622591376,0.32193405155592086
1.2500655,0.31568496162119536,0.325120202446567
1.253396,0.3197724493667853,0.32829307141878683
1.25673,0.32225056367048227,0.331455859297232
1.2600665,0.3247379576544574,0.33460794051015985
1.263401,0.32886964286408066,0.33774541121387947
1.2667365,0.33137837732833786,0.34087144169399214
1.2700675000000001,0.3338945680425709,0.34398122945446075
1.273401,0.3380691647316462,0.34708164505665134
1.2767335,0.3406073279105276,0.3501697419017653
1.2800645,0.34315372048419324,0.35324537811567513
1.283395,0.3457086059953042,0.35630978796666185
1.2867335,0.3499406672874273,0.3593710508897034
1.29007,0.35251876851112,0.3624202570806913
1.293404,0.3551048252265366,0.3654572511873441
1.2967345,0.3576985518751675,0.3684814225626525
1.3000675,0.3619852500288148,0.37149849075756447
1.303396,0.36459998627247076,0.3745023879307468
1.3067335,0.3672258728960295,0.3775055341973879
1.3100654999999999,0.3698588512130085,0.38049511707744715
1.313402,0.37250173601443204,0.3834803563269207
1.3167365,0.3751526928620733,0.38645566459315334
1.3200699999999999,0.37952155675362054,0.38942217726367506
1.323401,0.38219309323970985,0.39237879828174343
1.3267335,0.38487369248521375,0.3953293027269649
1.3300635,0.3875621947729195,0.3982703683381662
1.333396,0.3902600537963741,0.401206622290872
1.3367335,0.39296801420928795,0.4041404506389793
1.3400685,0.3956838809020283,0.40706545521466814
1.343404,0.39840853386102304,0.40998447102824975
1.3467345,0.401140336790685,0.4128928907116228
1.3500655,0.4038809156262019,0.41579571825250755
1.353396,0.406629971858565,0.4186922663030848
1.356731,0.4093890122783684,0.42158705332727225
1.3600655,0.4121565391603674,0.4244759057526699
1.363402,0.41493331140382117,0.4273611587728457
1.3667354999999999,0.4177178086201113,0.4302386600576984
1.3700695,0.420511093397706,0.43311160195955684
1.3734,0.4233119347916459,0.43597670578121084
1.3767335,0.4261223310639743,0.4388397223771288
1.3800625,0.428939962780265,0.44169436778486293
1.383399,0.43176855774174383,0.44455107756652656
1.38673,0.434604070859952,0.4473988652982316
1.3900695,0.43745088652643,0.4502498399186505
1.393404,0.44030477187047956,0.45309261219616653
1.3967355,0.4431663420408174,0.45592904037949367
1.4000655,0.4442229085267383,0.45876054507638253
1.4033959999999999,0.44709710154875026,0.46158896149545436
1.406731,0.44998136034634817,0.464417809234939
1.4100665000000001,0.45287441771317505,0.46724381576567936
1.413402,0.4557761143580891,0.47006668218592246
1.4167345,0.4586854789936427,0.4728839964942955
1.420071,0.4616047753671144,0.475701795539479
1.423399,0.46452993961182176,0.4785096459165129
1.426732,0.4656176727693736,0.4813190572152742
1.4300625,0.46855659238691955,0.48412381741326527
1.433398,0.4715057830454653,0.48693035053255107
1.4367325,0.4744632827443663,0.48973371235682084
1.4400695000000001,0.47743024796321026,0.49253695047680174
1.4434040000000001,0.4804050242757111,0.4953359691203764
1.4467365,0.4815141730264411,0.49813129453960303
1.4500655,0.4845000641049716,0.5009217734941284
1.453398,0.48749575158870256,0.5037133717374681
1.45673,0.4904999022237303,0.5065028323029136
1.4600695,0.49351521813173505,0.5092969419443791
1.4634,0.4965361299504903,0.5120819891317796
1.4667365,0.49766821468301714,0.5148706103724823
1.4700695000000001,0.5007029252587833,0.5176549532230843
1.473401,0.5037457557976147,0.5204367789161277
1.476731,0.5067967004717867,0.5232161747891215
1.4800635,0.5079403752536679,0.5259965630161484
1.483397,0.5110054664057573,0.5287767729856999
1.4867325,0.5140798832123973,0.5315577185412621
1.4900685,0.5171631128338153,0.5343382277726727
1.493404,0.5183207760975225,0.53711754547362
1.4967365,0.5214157466416117,0.5398936664349334
1.5000645000000001,0.5245177752078233,0.5426654184957315
1.503396,0.527629651981232,0.5454395385242571
1.5067300000000001,0.5287997477242735,0.5482152648639838
1.5100665,0.5319263323797448,0.5509926678182179
1.5134,0.5350604982575103,0.5537672391472166
1.5167355,0.5382040079205255,0.5565432094715665
1.5200685,0.5393867019092922,0.559316901239976
1.523402,0.5425424549743515,0.5620908775092778
1.5267309999999998,0.5457052336852847,0.5648610427261269
1.5300625,0.5488775316607333,0.5676332857134309
1.5333945,0.5500728161249258,0.5704060049618684
1.5367345000000001,0.5532611183274171,0.5731855037738737
1.5400684999999998,0.5564559035498614,0.5759601924720429
1.543405,0.5576614441619797,0.5787372046062347
1.5467355,0.5608679165625231,0.5815095237111638
1.5500655,0.5640828333361393,0.5842817846118105
1.5533934999999999,0.5652939225896855,0.5870527945453354
1.556729,0.5685237829444514,0.5898305202233748
1.5600665,0.5717630155755654,0.5926104382529699
1.563403,0.5729858399240583,0.5953901040487616
1.5667375,0.5762369345650121,0.5981687367366285
1.5700695,0.5794957431708779,0.6009459704186942
1.5734020000000002,0.5807257330306371,0.603724356132454
1.57673,0.583996006066014,0.6064997741042021
1.5800635,0.5872769431900448,0.6092806137293554
1.583396,0.5885155645575916,0.6120615029891496
1.586733,0.591810756943734,0.6148470808907436
1.5900685,0.5951140310889687,0.6176323873950844
1.593405,0.5963627810420231,0.6204195564061754
1.5967365,0.5996775131415193,0.623203619570146
1.6000665,0.6030003088694085,0.6259875434488642
1.6033944999999998,0.6042544973846466,0.6287709523018664
1.606731,0.6075926860760116,0.6315626748128035
1.6100664999999998,0.6109391371859342,0.6343548090653341
1.613405,0.6122059297746225,0.6371507468701256
1.6167345000000002,0.6155630592187482,0.6399404764128791
1.6200695,0.6189309136188746,0.6427361857601801
1.623402,0.6202040610175725,0.6455312106145867
1.626733,0.6235833358155125,0.648326426702368
1.6300615,0.6269702766615167,0.651121031129616
1.6333945,0.6282522478829172,0.6539209407707284
1.6367319999999999,0.6316555996016426,0.6567261997053399
1.6400695,0.6329436238864191,0.6595330661149282
1.6434039999999999,0.6363587806327873,0.6623390515816611
1.6467355000000001,0.6376488038271316,0.6651441878152721
1.6500664999999999,0.6410755519179042,0.6679506127429466
1.6533945,0.6445097582012275,0.6707562523374822
1.656729,0.645809579743347,0.6735691527781056
1.6600655,0.6492600486161745,0.6763855589120296
1.663402,0.652719159357189,0.6792038177974127
1.6667345,0.6540268327870382,0.6820205805119165
1.6700694999999999,0.6574983106073654,0.6848413724893964
1.6734010000000001,0.6609770439449294,0.6876611501016109
1.676733,0.6622931513874518,0.6904833279679318
1.6800615,0.6657836398932362,0.6933045465867391
1.6833969999999998,0.6671054494406031,0.6961337396554488
1.686732,0.6706114630049562,0.698964581984465
1.6900715,0.6741279094915505,0.7018013515042937
1.693403,0.6754567628154905,0.7046334562021124
1.6967365,0.6789837723768442,0.7074694204301235
1.7000644999999999,0.6803155395631278,0.710302888809765
1.7033969999999998,0.6838550916830598,0.7131424026499664
1.706729,0.6851927746574269,0.7159837334903644
1.7100665,0.6887472871941577,0.718832030426446
1.7134019999999999,0.692309636078019,0.7216809236062967
1.7167355,0.6936565553484915,0.72453043572847
1.7200695000000001,0.6972312525334414,0.7273827287190149
1.723402,0.6985820835022295,0.7302361165790178
1.726734,0.7021689185426544,0.7330914791304333
1.7300615000000001,0.7035220320369453,0.7359454084843183
1.733396,0.7071228264205726,0.7388077957477549
1.736732,0.7107328713458547,0.7416739538061434
1.7400705,0.712099104990993,0.7445447708083586
1.743403,0.7157206771557078,0.747412957696392
1.7467365,0.7170891816708993,0.7502845572929271
1.7500655,0.720722261001773,0.7531548511219484
1.753398,0.7243654086983323,0.7560307588634811
1.756729,0.7257415145090919,0.7589079907779772
1.7600675,0.7294000940206249,0.7617943505813809
1.763401,0.730781549682648,0.7646790565115645
1.7667385,0.734452677580484,0.7675699178023423
1.7700675000000001,0.7358365795918261,0.7704561235653925
1.773402,0.7395194121509355,0.7733498294956326
1.776732,0.7409080423895744,0.7762423799462052
1.7800635,0.7446025692495575,0.779139003954874
1.7833934999999999,0.748305095632962,0.7820371138021703
1.786731,0.7497054978754706,0.7849445702690123
1.7900705000000001,0.7534249699872179,0.7878566144014802
1.793403,0.7548275900027326,0.7907654118321414
1.7967365,0.7585574943891962,0.7936779574660082
1.8000655,0.7599629525066339,0.7965894607845323
1.803397,0.7637049552495497,0.7995060605440834
1.8067280000000001,0.7674553745219649,0.8024251519971818
1.8100665,0.7688734904574248,0.8053537739851361
1.813401,0.7726383521266663,0.8082818616965272
1.8167365,0.774059513372038,0.8112138201477259
1.8200675,0.777835835585641,0.8141448282160828
1.823402,0.7792608891035794,0.8170819418771347
1.8267319999999998,0.7830497286222868,0.8200181309037341
1.8300635,0.7844778144996379,0.8229586991592791
1.8333945,0.7882800234663049,0.825901900042911
1.836733,0.7920940944428113,0.8288548290923387
1.8400695,0.7935329654959848,0.8318091081795154
1.8434050000000002,0.7973587068149413,0.8347656353761137
1.846734,0.7987986547021321,0.8377195416007764
1.8500665,0.8026360449952148,0.8406797122634115
1.8533955,0.8040803041036247,0.8436399456447221
1.856731,0.8079319425360445,0.8466091543596629
1.8600645,0.8093824709811688,0.8495797942049629
1.863403,0.8132483750360996,0.8525581233163563
1.8667375,0.8147036569619943,0.8555361296818524
1.8700685,0.8185792434577315,0.8585142642761843
1.873402,0.8224645551309231,0.8614979052431543
1.876732,0.823926498146136,0.8644816958514822
1.8800634999999999,0.8278238757995314,0.8674701281801378
1.8833945,0.8292905716479899,0.8704614243776782
1.8867319999999999,0.8332035417025503,0.8734618941301532
