lambda,sigma_c_data_MPa,sigma_c_fit_MPa
1.0,0.003923045538712613,0.0
1.002752,0.005245122346713534,0.005409051574681217
1.0063645,0.006580022936739583,0.01239784814020306
1.0098645,0.010564651790477983,0.019051747478540316
1.0132915,0.01987594349245206,0.02545854324265013
1.016674,0.029248694933517456,0.031680243666675316
1.0200355,0.03734869336429924,0.03776602440637856
1.0233825,0.045500796378244356,0.04373204406336493
1.026722,0.05236240310077518,0.04959443391904426
1.0300575,0.0592674497065562,0.05536243396404126
1.0333925,0.06486473338982518,0.06104481341096352
1.036731,0.0718528583309795,0.06665073515509623
1.0400655,0.07752426207513417,0.07217000373969715
1.043402,0.08323070907740429,0.07761492732342282
1.0467345,0.08897172072623417,0.08297801133744019
1.0500665,0.09337439715866888,0.08826719541236488
1.053395,0.09918039732605216,0.09347993051048564
1.056731,0.10364009587923297,0.09863533852723526
1.0600665,0.10951214771051063,0.10372280090741594
1.063403,0.114028609463432,0.10874649356967937
1.0667355,0.11857080508740545,0.113700816577644
1.0700685,0.12313920534789569,0.11859434214458119
1.0734,0.12773357813137493,0.12342588721356428
1.0767345,0.13376248509242694,0.1282036125461957
1.0800615,0.1370005511878982,0.13291420936482018
1.083396,0.14167372814863635,0.13758048859823857
1.0867325,0.1463733372825325,0.14219604727211116
1.09007,0.1510992635135842,0.14676091492317003
1.093403,0.15585073465566118,0.15126908826165095
1.0967355,0.1606282835891159,0.1557274838603624
1.1000655,0.16399306797853308,0.1601348406042326
1.103396,0.16881823745410038,0.16449647973357456
1.106731,0.17222299244682962,0.16881880709683916
1.1100665,0.1770968848403059,0.17309777296018353
1.113402,0.18054097228760632,0.1773339264666414
1.1167335,0.18546217987948405,0.18152342728247803
1.1200685,0.1889454284750337,0.18567684617992122
1.123401,0.1939147443743527,0.1897877885241325
1.1267335,0.1974367984286895,0.19386044652045253
1.1300625,0.2009756614254778,0.19789163408467006
1.133397,0.2045329300442519,0.2018932195579533
1.1367325,0.20959430805322787,0.20586067290265836
1.14007,0.21319138446892422,0.20979608611137635
1.143403,0.2168050651748632,0.21369275481245237
1.1467355000000001,0.2204360837805605,0.21755632495396643
1.1500655,0.22408404667378043,0.2213853890294911
1.153399,0.22775011899904804,0.22518767601136655
1.156728,0.23143272761510209,0.22895489357846988
