Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0002"
"0.1000","0.5510","0.0003"
"0.2000","1.2733","0.0003"
"0.3000","1.9731","0.0005"
"0.4000","2.6585","0.0011"
"0.5000","3.3350","0.0019"
"0.6000","4.0071","0.0025"
"0.7000","4.6765","0.0030"
"0.8000","5.3444","0.0036"
"0.9000","6.0115","0.0040"
"1.0000","6.6785","0.0045"
"1.1000","7.3460","0.0049"
"1.2000","8.0131","0.0053"
"1.3000","8.6804","0.0057"
"1.4000","9.3469","0.0061"
"1.5000","10.0133","0.0065"
"1.6000","10.6790","0.0068"
"1.7000","11.3462","0.0072"
"1.8000","12.0133","0.0075"
"1.9000","12.6806","0.0079"
"2.0000","13.3471","0.0082"
"2.1000","14.0137","0.0085"
"2.2000","14.6802","0.0088"
"2.3000","15.3471","0.0091"
"2.4000","16.0123","0.0094"
"2.5000","16.6792","0.0097"
"2.6000","17.3465","0.0100"
"2.7000","18.0140","0.0103"
"2.8000","18.6806","0.0105"
"2.9000","19.3469","0.0108"
"3.0000","20.0131","0.0111"
"3.1000","20.6792","0.0113"
"3.2000","21.3460","0.0116"
"3.3000","22.0133","0.0118"
"3.4000","22.6804","0.0121"
"3.5000","23.3467","0.0123"
"3.6000","24.0137","0.0125"
"3.7000","24.6802","0.0128"
"3.8000","25.3469","0.0130"
"3.9000","26.0125","0.0132"
"4.0000","26.6792","0.0134"
"4.1000","27.3467","0.0137"
"4.2000","28.0142","0.0139"
"4.3000","28.6806","0.0141"
"4.4000","29.3471","0.0143"
"4.5000","30.0129","0.0145"
"4.6000","30.6800","0.0147"
"4.7000","31.3458","0.0149"
"4.8000","32.0133","0.0151"
"4.9000","32.6802","0.0153"
"5.0000","33.3473","0.0155"
"5.1000","34.0140","0.0157"
"5.2000","34.6804","0.0159"
"5.3000","35.3467","0.0160"
"5.4000","36.0127","0.0162"
"5.5000","36.6794","0.0164"
"5.6000","37.3465","0.0166"
"5.7000","38.0144","0.0168"
"5.8000","38.6802","0.0169"
"5.9000","39.3469","0.0171"
"6.0000","40.0131","0.0173"
"6.1000","40.6792","0.0174"
"6.2000","41.3458","0.0176"
"6.3000","42.0133","0.0177"
"6.4000","42.6804","0.0179"
"6.5000","43.3475","0.0181"
"6.6000","44.0135","0.0182"
"6.7000","44.6804","0.0184"
"6.8000","45.3467","0.0185"
"6.9000","46.0131","0.0187"
"7.0000","46.6787","0.0188"
"7.1000","47.3465","0.0190"
"7.2000","48.0140","0.0191"
"7.3000","48.6808","0.0193"
"7.4000","49.3471","0.0194"
"7.5000","50.0131","0.0195"
"7.6000","50.6792","0.0197"
"7.7000","51.3460","0.0198"
"7.8000","52.0133","0.0199"
"7.9000","52.6802","0.0201"
"8.0000","53.3473","0.0202"
"8.1000","54.0135","0.0203"
"8.2000","54.6802","0.0205"
"8.3000","55.3467","0.0206"
"8.4000","56.0129","0.0207"
"8.5000","56.6790","0.0208"
"8.6000","57.3467","0.0210"
"8.7000","58.0140","0.0211"
"8.8000","58.6808","0.0212"
"8.9000","59.3469","0.0213"
"9.0000","60.0135","0.0215"
"9.1000","60.6792","0.0216"
"9.2000","61.3467","0.0217"
"9.3000","62.0131","0.0218"
"9.4000","62.6804","0.0219"
"9.5000","63.3473","0.0220"
"9.6000","64.0140","0.0222"
"9.7000","64.6802","0.0223"
"9.8000","65.3467","0.0224"
"9.9000","66.0127","0.0225"
"10.0000","66.6792","0.0226"
"10.1000","67.3467","0.0227"
"10.2000","68.0137","0.0228"
"10.3000","68.6808","0.0229"
"10.4000","69.3469","0.0230"
"10.5000","70.0131","0.0231"
"10.6000","70.6792","0.0232"
"10.7000","71.3462","0.0233"
"10.8000","72.0131","0.0234"
"10.9000","72.6804","0.0235"
"11.0000","73.3471","0.0236"
"11.1000","74.0139","0.0237"
"11.2000","74.6800","0.0238"
"11.3000","75.3467","0.0239"
"11.4000","76.0125","0.0240"
"11.5000","76.6798","0.0241"
"11.6000","77.3460","0.0242"
"11.7000","78.0139","0.0243"
"11.8000","78.6808","0.0244"
"11.9000","79.3471","0.0245"
"12.0000","80.0131","0.0245"
"12.1000","80.6792","0.0246"
"12.2000","81.3462","0.0247"
"12.3000","82.0133","0.0248"
"12.4000","82.6804","0.0249"
"12.5000","83.3469","0.0250"
"12.6000","84.0142","0.0251"
"12.7000","84.6798","0.0252"
"12.8000","85.3464","0.0252"
"12.9000","86.0125","0.0253"
"13.0000","86.6796","0.0254"
"13.1000","87.3465","0.0255"
"13.2000","88.0139","0.0256"
"13.3000","88.6808","0.0257"
"13.4000","89.3473","0.0257"
"13.5000","90.0131","0.0258"
"13.6000","90.6796","0.0259"
"13.7000","91.3460","0.0260"
"13.8000","92.0139","0.0261"
"13.9000","92.6800","0.0262"
"14.0000","93.3473","0.0262"
"14.1000","94.0139","0.0263"
"14.2000","94.6802","0.0264"
"14.3000","95.3462","0.0265"
"14.4000","96.0127","0.0265"
"14.5000","96.6794","0.0266"
"14.6000","97.3465","0.0267"
"14.7000","98.0137","0.0268"
"14.8000","98.6808","0.0268"
"14.9000","99.3473","0.0269"
"15.0000","100.0129","0.0270"
"15.1000","100.6792","0.0271"
"15.2000","101.3460","0.0271"
"15.3000","102.0133","0.0272"
"15.4000","102.6800","0.0273"
"15.5000","103.3471","0.0274"
"15.6000","104.0137","0.0274"
"15.7000","104.6804","0.0275"
"15.8000","105.3462","0.0276"
"15.9000","106.0125","0.0277"
"16.0000","106.6789","0.0277"
"16.1000","107.3469","0.0278"
"16.2000","108.0137","0.0279"
"16.3000","108.6810","0.0279"
"16.4000","109.3471","0.0280"
"16.5000","110.0131","0.0281"
"16.6000","110.6787","0.0281"
"16.7000","111.3458","0.0282"
"16.8000","112.0133","0.0283"
"16.9000","112.6806","0.0283"
"17.0000","113.3475","0.0284"
"17.1000","114.0139","0.0285"
"17.2000","114.6804","0.0285"
"17.3000","115.3460","0.0286"
"17.4000","116.0127","0.0287"
"17.5000","116.6792","0.0287"
"17.6000","117.3466","0.0288"
"17.7000","118.0137","0.0289"
"17.8000","118.6810","0.0289"
"17.9000","119.3473","0.0290"
"18.0000","120.0133","0.0291"
"18.1000","120.6789","0.0291"
"18.2000","121.3462","0.0292"
"18.3000","122.0133","0.0293"
"18.4000","122.6810","0.0293"
"18.5000","123.3469","0.0294"
"18.6000","124.0139","0.0295"
"18.7000","124.6804","0.0295"
"18.8000","125.3466","0.0296"
"18.9000","126.0123","0.0297"
"19.0000","126.6789","0.0297"
"19.1000","127.3464","0.0298"
"19.2000","128.0139","0.0298"
"19.3000","128.6808","0.0299"
"19.4000","129.3471","0.0299"
"19.5000","130.0133","0.0300"
"19.6000","130.6789","0.0301"
"19.7000","131.3458","0.0301"
"19.8000","132.0131","0.0302"
"19.9000","132.6804","0.0303"
"20.0000","133.3469","0.0303"
"20.1000","134.0139","0.0304"
"20.2000","134.6802","0.0305"
"20.3000","135.3466","0.0305"
"20.4000","136.0123","0.0306"
"20.5000","136.6794","0.0306"
"20.6000","137.3464","0.0307"
"20.7000","138.0143","0.0308"
"20.8000","138.6806","0.0308"
"20.9000","139.3473","0.0309"
"21.0000","140.0129","0.0309"
"21.1000","140.6794","0.0310"
"21.2000","141.3458","0.0310"
"21.3000","142.0133","0.0311"
"21.4000","142.6804","0.0312"
"21.5000","143.3471","0.0312"
"21.6000","144.0139","0.0313"
"21.7000","144.6804","0.0313"
"21.8000","145.3468","0.0314"
"21.9000","146.0123","0.0314"
"22.0000","146.6792","0.0315"
"22.1000","147.3464","0.0316"
"22.2000","148.0141","0.0316"
"22.3000","148.6806","0.0317"
"22.4000","149.3473","0.0317"
"22.5000","150.0131","0.0318"
"22.6000","150.6796","0.0319"
"22.7000","151.3458","0.0319"
"22.8000","152.0135","0.0320"
"22.9000","152.6802","0.0320"
"23.0000","153.3477","0.0321"
"23.1000","154.0135","0.0321"
"23.2000","154.6804","0.0322"
"23.3000","155.3464","0.0322"
"23.4000","156.0127","0.0323"
"23.5000","156.6787","0.0324"
"23.6000","157.3462","0.0324"
"23.7000","158.0141","0.0325"
"23.8000","158.6806","0.0325"
"23.9000","159.3473","0.0326"
"24.0000","160.0131","0.0326"
"24.1000","160.6794","0.0327"
"24.2000","161.3456","0.0328"
"24.3000","162.0133","0.0328"
"24.4000","162.6802","0.0329"
"24.5000","163.3473","0.0329"
"24.6000","164.0135","0.0330"
"24.7000","164.6804","0.0330"
"24.8000","165.3464","0.0331"
"24.9000","166.0127","0.0331"
"25.0000","166.6789","0.0332"
"25.1000","167.3466","0.0333"
"25.2000","168.0139","0.0333"
"25.3000","168.6810","0.0334"
"25.4000","169.3468","0.0334"
"25.5000","170.0133","0.0335"
"25.6000","170.6791","0.0335"
"25.7000","171.3462","0.0336"
"25.8000","172.0129","0.0336"
"25.9000","172.6806","0.0337"
"26.0000","173.3475","0.0337"
"26.1000","174.0137","0.0338"
"26.2000","174.6804","0.0339"
"26.3000","175.3464","0.0339"
"26.4000","176.0127","0.0340"
"26.5000","176.6789","0.0340"
"26.6000","177.3464","0.0341"
"26.7000","178.0139","0.0341"
"26.8000","178.6810","0.0342"
"26.9000","179.3470","0.0342"
"27.0000","180.0135","0.0343"
"27.1000","180.6794","0.0344"
"27.2000","181.3462","0.0344"
"27.3000","182.0131","0.0345"
"27.4000","182.6804","0.0345"
"27.5000","183.3471","0.0346"
"27.6000","184.0141","0.0346"
"27.7000","184.6800","0.0347"
"27.8000","185.3464","0.0347"
"27.9000","186.0125","0.0348"
"28.0000","186.6796","0.0348"
"28.1000","187.3460","0.0349"
"28.2000","188.0139","0.0349"
"28.3000","188.6808","0.0350"
"28.4000","189.3468","0.0351"
"28.5000","190.0131","0.0351"
"28.6000","190.6792","0.0352"
"28.7000","191.3460","0.0352"
"28.8000","192.0129","0.0353"
"28.9000","192.6802","0.0353"
"29.0000","193.3471","0.0354"
"29.1000","194.0137","0.0354"
"29.2000","194.6800","0.0355"
"29.3000","195.3466","0.0355"
"29.4000","196.0125","0.0356"
"29.5000","196.6794","0.0357"
"29.6000","197.3462","0.0357"
"29.7000","198.0139","0.0358"
"29.8000","198.6808","0.0358"
"29.9000","199.3477","0.0359"
"30.0000","200.0131","0.0359"
"30.0020","200.0260","0.0359"
"30.0300","200.1206","0.0358"
"30.1300","199.5583","0.0357"
"30.2300","198.7892","0.0354"
"30.3300","198.0623","0.0352"
"30.4300","197.3625","0.0350"
"30.5300","196.6773","0.0348"
"30.6300","195.9998","0.0346"
"30.7300","195.3268","0.0345"
"30.8300","194.6568","0.0343"
"30.9300","193.9887","0.0341"
"31.0300","193.3216","0.0340"
"31.1300","192.6548","0.0338"
"31.2300","191.9869","0.0337"
"31.3300","191.3206","0.0335"
"31.4300","190.6531","0.0334"
"31.5300","189.9866","0.0332"
"31.6300","189.3198","0.0331"
"31.7300","188.6531","0.0330"
"31.8300","187.9864","0.0328"
"31.9300","187.3202","0.0327"
"32.0300","186.6539","0.0326"
"32.1300","185.9871","0.0324"
"32.2300","185.3198","0.0323"
"32.3300","184.6527","0.0322"
"32.4300","183.9862","0.0321"
"32.5300","183.3204","0.0320"
"32.6300","182.6537","0.0318"
"32.7300","181.9866","0.0317"
"32.8300","181.3200","0.0316"
"32.9300","180.6533","0.0315"
"33.0300","179.9868","0.0314"
"33.1300","179.3198","0.0312"
"33.2300","178.6533","0.0311"
"33.3300","177.9866","0.0310"
"33.4300","177.3204","0.0309"
"33.5300","176.6539","0.0308"
"33.6300","175.9879","0.0307"
"33.7300","175.3196","0.0306"
"33.8300","174.6529","0.0305"
"33.9300","173.9864","0.0303"
"34.0300","173.3202","0.0302"
"34.1300","172.6537","0.0301"
"34.2300","171.9868","0.0300"
"34.3300","171.3200","0.0299"
"34.4300","170.6537","0.0298"
"34.5300","169.9866","0.0297"
"34.6300","169.3200","0.0296"
"34.7300","168.6531","0.0295"
"34.8300","167.9866","0.0294"
"34.9300","167.3200","0.0293"
"35.0300","166.6539","0.0292"
"35.1300","165.9871","0.0291"
"35.2300","165.3198","0.0290"
"35.3300","164.6527","0.0289"
"35.4300","163.9862","0.0288"
"35.5300","163.3206","0.0287"
"35.6300","162.6535","0.0286"
"35.7300","161.9869","0.0285"
"35.8300","161.3198","0.0284"
"35.9300","160.6537","0.0283"
"36.0300","159.9866","0.0282"
"36.1300","159.3198","0.0281"
"36.2300","158.6529","0.0280"
"36.3300","157.9864","0.0279"
"36.4300","157.3200","0.0278"
"36.5300","156.6541","0.0277"
"36.6300","155.9868","0.0276"
"36.7300","155.3198","0.0275"
"36.8300","154.6527","0.0274"
"36.9300","153.9862","0.0273"
"37.0300","153.3202","0.0273"
"37.1300","152.6539","0.0272"
"37.2300","151.9868","0.0271"
"37.3300","151.3198","0.0270"
"37.4300","150.6535","0.0269"
"37.5300","149.9868","0.0268"
"37.6300","149.3200","0.0267"
"37.7300","148.6531","0.0266"
"37.8300","147.9869","0.0265"
"37.9300","147.3202","0.0264"
"38.0300","146.6544","0.0263"
"38.1300","145.9869","0.0262"
"38.2300","145.3202","0.0261"
"38.3300","144.6529","0.0261"
"38.4300","143.9864","0.0260"
"38.5300","143.3202","0.0259"
"38.6300","142.6539","0.0258"
"38.7300","141.9866","0.0257"
"38.8300","141.3200","0.0256"
"38.9300","140.6533","0.0255"
"39.0300","139.9869","0.0254"
"39.1300","139.3200","0.0253"
"39.2300","138.6531","0.0252"
"39.3300","137.9864","0.0251"
"39.4300","137.3202","0.0250"
"39.5300","136.6541","0.0249"
"39.6300","135.9868","0.0249"
"39.7300","135.3200","0.0248"
"39.8300","134.6529","0.0247"
"39.9300","133.9864","0.0246"
"40.0300","133.3200","0.0245"
"40.1300","132.6539","0.0244"
"40.2300","131.9866","0.0243"
"40.3300","131.3200","0.0242"
"40.4300","130.6531","0.0241"
"40.5300","129.9873","0.0241"
"40.6300","129.3198","0.0240"
"40.7300","128.6531","0.0239"
"40.8300","127.9864","0.0238"
"40.9300","127.3202","0.0237"
"41.0300","126.6537","0.0236"
"41.1300","125.9871","0.0235"
"41.2300","125.3196","0.0234"
"41.3300","124.6527","0.0233"
"41.4300","123.9862","0.0232"
"41.5300","123.3202","0.0231"
"41.6300","122.6537","0.0231"
"41.7300","121.9869","0.0230"
"41.8300","121.3200","0.0229"
"41.9300","120.6531","0.0228"
"42.0300","119.9869","0.0227"
"42.1300","119.3200","0.0226"
"42.2300","118.6531","0.0225"
"42.3300","117.9865","0.0224"
"42.4300","117.3206","0.0223"
"42.5300","116.6539","0.0222"
"42.6300","115.9873","0.0221"
"42.7300","115.3194","0.0221"
"42.8300","114.6533","0.0220"
"42.9300","113.9862","0.0219"
"43.0300","113.3202","0.0218"
"43.1300","112.6537","0.0217"
"43.2300","111.9871","0.0216"
"43.3300","111.3200","0.0215"
"43.4300","110.6535","0.0214"
"43.5300","109.9865","0.0213"
"43.6300","109.3200","0.0212"
"43.7300","108.6529","0.0211"
"43.8300","107.9865","0.0210"
"43.9300","107.3198","0.0209"
"44.0300","106.6542","0.0209"
"44.1300","105.9871","0.0208"
"44.2300","105.3196","0.0207"
"44.3300","104.6529","0.0206"
"44.4300","103.9862","0.0205"
"44.5300","103.3202","0.0204"
"44.6300","102.6535","0.0203"
"44.7300","101.9869","0.0202"
"44.8300","101.3198","0.0201"
"44.9300","100.6535","0.0200"
"45.0300","99.9865","0.0199"
"45.1300","99.3204","0.0198"
"45.2300","98.6529","0.0197"
"45.3300","97.9864","0.0196"
"45.4300","97.3200","0.0195"
"45.5300","96.6542","0.0194"
"45.6300","95.9869","0.0193"
"45.7300","95.3198","0.0192"
"45.8300","94.6527","0.0191"
"45.9300","93.9864","0.0190"
"46.0300","93.3202","0.0189"
"46.1300","92.6537","0.0188"
"46.2300","91.9867","0.0187"
"46.3300","91.3200","0.0186"
"46.4300","90.6533","0.0185"
"46.5300","89.9866","0.0184"
"46.6300","89.3202","0.0183"
"46.7300","88.6529","0.0182"
"46.8300","87.9865","0.0181"
"46.9300","87.3202","0.0180"
"47.0300","86.6546","0.0179"
"47.1300","85.9869","0.0178"
"47.2300","85.3200","0.0177"
"47.3300","84.6527","0.0176"
"47.4300","83.9867","0.0175"
"47.5300","83.3200","0.0174"
"47.6300","82.6537","0.0173"
"47.7300","81.9867","0.0172"
"47.8300","81.3200","0.0171"
"47.9300","80.6531","0.0170"
"48.0300","79.9869","0.0169"
"48.1300","79.3200","0.0167"
"48.2300","78.6533","0.0166"
"48.3300","77.9862","0.0165"
"48.4300","77.3200","0.0164"
"48.5300","76.6537","0.0163"
"48.6300","75.9871","0.0162"
"48.7300","75.3198","0.0161"
"48.8300","74.6527","0.0160"
"48.9300","73.9865","0.0159"
"49.0300","73.3202","0.0157"
"49.1300","72.6537","0.0156"
"49.2300","71.9867","0.0155"
"49.3300","71.3200","0.0154"
"49.4300","70.6531","0.0153"
"49.5300","69.9869","0.0152"
"49.6300","69.3198","0.0150"
"49.7300","68.6533","0.0149"
"49.8300","67.9862","0.0148"
"49.9300","67.3202","0.0147"
"50.0300","66.6539","0.0146"
"50.1300","65.9871","0.0144"
"50.2300","65.3198","0.0143"
"50.3300","64.6527","0.0142"
"50.4300","63.9862","0.0141"
"50.5300","63.3204","0.0139"
"50.6300","62.6539","0.0138"
"50.7300","61.9869","0.0137"
"50.8300","61.3196","0.0136"
"50.9300","60.6533","0.0134"
"51.0300","59.9867","0.0133"
"51.1300","59.3198","0.0132"
"51.2300","58.6533","0.0131"
"51.3300","57.9865","0.0129"
"51.4300","57.3202","0.0128"
"51.5300","56.6537","0.0126"
"51.6300","55.9873","0.0125"
"51.7300","55.3198","0.0124"
"51.8300","54.6529","0.0122"
"51.9300","53.9862","0.0121"
"52.0300","53.3206","0.0120"
"52.1300","52.6535","0.0118"
"52.2300","51.9867","0.0117"
"52.3300","51.3196","0.0115"
"52.4300","50.6533","0.0114"
"52.5300","49.9865","0.0112"
"52.6300","49.3198","0.0111"
"52.7300","48.6529","0.0110"
"52.8300","47.9865","0.0108"
"52.9300","47.3200","0.0107"
"53.0300","46.6537","0.0105"
"53.1300","45.9869","0.0103"
"53.2300","45.3198","0.0102"
"53.3300","44.6527","0.0100"
"53.4300","43.9860","0.0099"
"53.5300","43.3202","0.0097"
"53.6300","42.6535","0.0096"
"53.7300","41.9867","0.0094"
"53.8300","41.3196","0.0092"
"53.9300","40.6535","0.0091"
"54.0300","39.9865","0.0089"
"54.1300","39.3198","0.0087"
"54.2300","38.6529","0.0086"
"54.3300","37.9867","0.0084"
"54.4300","37.3200","0.0082"
"54.5300","36.6539","0.0080"
"54.6300","35.9869","0.0079"
"54.7300","35.3198","0.0077"
"54.8300","34.6529","0.0075"
"54.9300","33.9862","0.0073"
"55.0300","33.3202","0.0071"
"55.1300","32.6537","0.0069"
"55.2300","31.9867","0.0067"
"55.3300","31.3198","0.0065"
"55.4300","30.6531","0.0064"
"55.5300","29.9869","0.0062"
"55.6300","29.3200","0.0060"
"55.7300","28.6529","0.0058"
"55.8300","27.9865","0.0056"
"55.9300","27.3202","0.0053"
"56.0300","26.6542","0.0051"
"56.1300","25.9869","0.0049"
"56.2300","25.3200","0.0047"
"56.3300","24.6527","0.0045"
"56.4300","23.9862","0.0043"
"56.5300","23.3200","0.0041"
"56.6300","22.6542","0.0038"
"56.7300","21.9865","0.0036"
"56.8300","21.3198","0.0034"
"56.9300","20.6531","0.0031"
"57.0300","19.9869","0.0029"
"57.1300","19.3198","0.0027"
"57.2300","18.6529","0.0024"
"57.3300","17.9862","0.0022"
"57.4300","17.3200","0.0019"
"57.5300","16.6540","0.0016"
"57.6300","15.9869","0.0014"
"57.7300","15.3198","0.0011"
"57.8300","14.6529","0.0008"
"57.9300","13.9862","0.0006"
"58.0300","13.3200","0.0003"
"58.1300","12.6535","0.0002"
"58.2300","11.9867","0.0003"
"58.3300","11.3198","0.0003"
"58.4300","10.6531","0.0003"
"58.5300","9.9871","0.0003"
"58.6300","9.3198","0.0003"
"58.7300","8.6529","0.0003"
"58.8300","7.9862","0.0003"
"58.9300","7.3204","0.0003"
"59.0300","6.6537","0.0003"
"59.1300","5.9871","0.0003"
"59.2300","5.3200","0.0003"
"59.3300","4.6531","0.0003"
"59.4300","3.9860","0.0003"
"59.5300","3.3202","0.0003"
"59.6300","2.6537","0.0003"
"59.7300","1.9869","0.0003"
"59.8300","1.3198","0.0003"
"59.9300","0.6533","0.0003"
"60.0280","-0.0002","0.0003"
"60.0300","-0.0133","0.0003"
"60.0600","-0.1208","0.0005"
"60.1600","0.4402","0.0003"
"60.2600","1.2100","0.0003"
"60.3600","1.9379","0.0003"
"60.4600","2.6387","0.0003"
"60.5600","3.3240","0.0003"
"60.6600","4.0010","0.0003"
"60.7600","4.6731","0.0003"
"60.8600","5.3425","0.0003"
"60.9600","6.0106","0.0003"
"61.0600","6.6779","0.0003"
"61.1600","7.3458","0.0004"
"61.2600","8.0131","0.0004"
"61.3600","8.6802","0.0004"
"61.4600","9.3469","0.0004"
"61.5600","10.0131","0.0004"
"61.6600","10.6790","0.0006"
"61.7600","11.3460","0.0009"
"61.8600","12.0133","0.0016"
"61.9600","12.6806","0.0022"
"62.0600","13.3471","0.0027"
"62.1600","14.0137","0.0032"
"62.2600","14.6800","0.0037"
"62.3600","15.3469","0.0041"
"62.4600","16.0123","0.0045"
"62.5600","16.6792","0.0049"
"62.6600","17.3462","0.0053"
"62.7600","18.0140","0.0057"
"62.8600","18.6806","0.0061"
"62.9600","19.3469","0.0064"
"63.0600","20.0131","0.0068"
"63.1600","20.6790","0.0071"
"63.2600","21.3460","0.0074"
"63.3600","22.0129","0.0078"
"63.4600","22.6804","0.0081"
"63.5600","23.3469","0.0084"
"63.6600","24.0137","0.0087"
"63.7600","24.6802","0.0090"
"63.8600","25.3469","0.0092"
"63.9600","26.0123","0.0095"
"64.0600","26.6794","0.0098"
"64.1600","27.3465","0.0101"
"64.2600","28.0140","0.0103"
"64.3600","28.6808","0.0106"
"64.4600","29.3473","0.0108"
"64.5600","30.0131","0.0111"
"64.6600","30.6798","0.0113"
"64.7600","31.3458","0.0116"
"64.8600","32.0133","0.0118"
"64.9600","32.6802","0.0120"
"65.0600","33.3473","0.0123"
"65.1600","34.0140","0.0125"
"65.2600","34.6802","0.0127"
"65.3600","35.3467","0.0129"
"65.4600","36.0127","0.0132"
"65.5600","36.6792","0.0134"
"65.6600","37.3465","0.0136"
"65.7600","38.0142","0.0138"
"65.8600","38.6804","0.0140"
"65.9600","39.3469","0.0142"
"66.0600","40.0129","0.0144"
"66.1600","40.6794","0.0146"
"66.2600","41.3458","0.0148"
"66.3600","42.0133","0.0150"
"66.4600","42.6804","0.0152"
"66.5600","43.3473","0.0153"
"66.6600","44.0135","0.0155"
"66.7600","44.6804","0.0157"
"66.8600","45.3465","0.0159"
"66.9600","46.0131","0.0161"
"67.0600","46.6787","0.0162"
"67.1600","47.3465","0.0164"
"67.2600","48.0140","0.0166"
"67.3600","48.6808","0.0168"
"67.4600","49.3471","0.0169"
"67.5600","50.0129","0.0171"
"67.6600","50.6792","0.0172"
"67.7600","51.3460","0.0174"
"67.8600","52.0135","0.0176"
"67.9600","52.6804","0.0177"
"68.0600","53.3475","0.0179"
"68.1600","54.0133","0.0180"
"68.2600","54.6802","0.0182"
"68.3600","55.3467","0.0183"
"68.4600","56.0129","0.0185"
"68.5600","56.6790","0.0186"
"68.6600","57.3467","0.0187"
"68.7600","58.0140","0.0189"
"68.8600","58.6810","0.0190"
"68.9600","59.3469","0.0192"
"69.0600","60.0133","0.0193"
"69.1600","60.6792","0.0195"
"69.2600","61.3467","0.0196"
"69.3600","62.0131","0.0197"
"69.4600","62.6804","0.0199"
"69.5600","63.3471","0.0200"
"69.6600","64.0140","0.0201"
"69.7600","64.6802","0.0202"
"69.8600","65.3467","0.0204"
"69.9600","66.0127","0.0205"
"70.0600","66.6792","0.0206"
"70.1600","67.3464","0.0207"
"70.2600","68.0137","0.0209"
"70.3600","68.6806","0.0210"
"70.4600","69.3467","0.0211"
"70.5600","70.0131","0.0212"
"70.6600","70.6792","0.0213"
"70.7600","71.3462","0.0215"
"70.8600","72.0131","0.0216"
"70.9600","72.6804","0.0217"
"71.0600","73.3471","0.0218"
"71.1600","74.0139","0.0219"
"71.2600","74.6800","0.0220"
"71.3600","75.3469","0.0222"
"71.4600","76.0125","0.0223"
"71.5600","76.6798","0.0224"
"71.6600","77.3460","0.0225"
"71.7600","78.0142","0.0226"
"71.8600","78.6806","0.0227"
"71.9600","79.3471","0.0228"
"72.0600","80.0129","0.0229"
"72.1600","80.6792","0.0230"
"72.2600","81.3462","0.0231"
"72.3600","82.0133","0.0232"
"72.4600","82.6802","0.0233"
"72.5600","83.3471","0.0234"
"72.6600","84.0139","0.0235"
"72.7600","84.6800","0.0236"
"72.8600","85.3464","0.0237"
"72.9600","86.0125","0.0238"
"73.0600","86.6794","0.0239"
"73.1600","87.3462","0.0240"
"73.2600","88.0139","0.0241"
"73.3600","88.6810","0.0242"
"73.4600","89.3475","0.0243"
"73.5600","90.0131","0.0244"
"73.6600","90.6794","0.0245"
"73.7600","91.3460","0.0246"
"73.8600","92.0139","0.0247"
"73.9600","92.6800","0.0248"
"74.0600","93.3473","0.0249"
"74.1600","94.0137","0.0249"
"74.2600","94.6802","0.0250"
"74.3600","95.3464","0.0251"
