

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
0.000, 4.61, 12, , 0.000, 1
0.020, -0.01, -0, , 0.000, 1
0.040, 0.00, 0, , 0.000, 1
0.060, 0.02, 0, , 0.001, 1
0.080, 0.02, 0, , 0.001, 1
0.100, 0.00, 0, , 0.001, 1
0.120, 0.01, 0, , 0.001, 1
0.140, 0.01, 0, , 0.001, 1
0.160, 0.02, 0, , 0.002, 1
0.180, 0.00, 0, , 0.002, 1
0.200, 0.01, 0, , 0.002, 1
0.220, 0.03, 0, , 0.003, 1
0.240, 0.03, 0, , 0.005, 1
0.260, 0.00, 0, , 0.006, 1
0.280, 0.01, 0, , 0.007, 1
0.300, -0.00, -0, , 0.008, 1
0.320, 0.00, 0, , 0.009, 1
0.340, 0.04, 0, , 0.009, 1
0.360, 0.02, 0, , 0.010, 1
0.380, 0.00, 0, , 0.012, 1
0.400, -0.01, -0, , 0.014, 1
0.420, 0.01, 0, , 0.016, 1
0.440, 0.01, 0, , 0.018, 1
0.460, 0.03, 0, , 0.019, 1
0.480, 0.00, 0, , 0.020, 1
0.500, 0.01, 0, , 0.021, 1
0.520, 0.04, 0, , 0.023, 1
0.540, 0.03, 0, , 0.026, 1
0.560, 0.00, 0, , 0.027, 1
0.580, 0.05, 0, , 0.028, 1
0.600, 0.04, 0, , 0.031, 1
0.620, 0.04, 0, , 0.032, 1
0.640, 0.02, 0, , 0.033, 1
0.660, 0.04, 0, , 0.035, 1
0.680, 0.01, 0, , 0.037, 1
0.700, 0.05, 0, , 0.039, 1
0.720, 0.03, 0, , 0.040, 1
0.740, 0.06, 0, , 0.042, 1
0.760, 0.03, 0, , 0.044, 1
0.780, 0.03, 0, , 0.045, 1
0.800, 0.05, 0, , 0.048, 1
0.820, 0.02, 0, , 0.050, 1
0.840, 0.05, 0, , 0.051, 1
0.860, 0.05, 0, , 0.053, 1
0.880, 0.02, 0, , 0.055, 1
0.900, 0.05, 0, , 0.056, 1
0.920, 0.04, 0, , 0.058, 1
0.940, 0.03, 0, , 0.060, 1
0.960, 0.02, 0, , 0.061, 1
0.980, 0.02, 0, , 0.062, 1
1.000, 0.05, 0, , 0.064, 1
1.020, 0.05, 0, , 0.066, 1
1.040, 0.03, 0, , 0.067, 1
1.060, 0.05, 0, , 0.070, 1
1.080, 0.00, 0, , 0.072, 1
1.100, 0.07, 0, , 0.072, 1
1.120, 0.05, 0, , 0.075, 1
1.140, 0.01, 0, , 0.076, 1
1.160, 0.03, 0, , 0.077, 1
1.180, 0.07, 0, , 0.079, 1
1.200, 0.03, 0, , 0.081, 1
1.220, 0.04, 0, , 0.082, 1
1.240, 0.06, 0, , 0.084, 1
1.260, 0.05, 0, , 0.086, 1
1.280, 0.03, 0, , 0.088, 1
1.300, 0.04, 0, , 0.089, 1
1.320, 0.05, 0, , 0.091, 1
1.340, 0.03, 0, , 0.093, 1
1.360, 0.03, 0, , 0.094, 1
1.380, 0.06, 0, , 0.096, 1
1.400, 0.02, 0, , 0.098, 1
1.420, 0.03, 0, , 0.099, 1
1.440, 0.04, 0, , 0.101, 1
1.460, 0.03, 0, , 0.103, 1
1.480, 0.03, 0, , 0.104, 1
1.500, 0.03, 0, , 0.105, 1
1.520, 0.06, 0, , 0.108, 1
1.540, 0.02, 0, , 0.110, 1
1.560, 0.07, 0, , 0.111, 1
1.580, 0.05, 0, , 0.113, 1
1.600, 0.05, 0, , 0.115, 1
1.620, 0.05, 0, , 0.116, 1
1.640, 0.07, 0, , 0.118, 1
1.660, 0.01, 0, , 0.120, 1
1.680, 0.05, 0, , 0.121, 1
1.700, 0.06, 0, , 0.122, 1
1.720, 0.06, 0, , 0.125, 1
1.740, 0.03, 0, , 0.126, 1
1.760, 0.05, 0, , 0.127, 1
1.780, 0.07, 0, , 0.129, 1
1.800, 0.05, 0, , 0.131, 1
1.820, 0.09, 0, , 0.132, 1
1.840, 0.05, 0, , 0.135, 1
1.860, 0.03, 0, , 0.136, 1
1.880, 0.06, 0, , 0.138, 1
1.900, 0.04, 0, , 0.140, 1
1.920, 0.02, 0, , 0.141, 1
1.940, 0.05, 0, , 0.142, 1
1.960, 0.04, 0, , 0.145, 1
1.980, 0.03, 0, , 0.146, 1
2.000, 0.05, 0, , 0.147, 1
2.020, 0.05, 0, , 0.149, 1
2.040, 0.03, 0, , 0.151, 1
2.060, 0.04, 0, , 0.152, 1
2.080, 0.06, 0, , 0.155, 1
2.100, 0.04, 0, , 0.156, 1
2.120, 0.06, 0, , 0.157, 1
2.140, 0.07, 0, , 0.160, 1
