

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
2.860, 1.93, N/A, , 0.224, 1
2.880, 1.93, N/A, , 0.226, 1
2.900, 1.94, N/A, , 0.227, 1
2.920, 1.97, N/A, , 0.228, 1
2.940, 2.02, N/A, , 0.231, 1
2.960, 2.01, N/A, , 0.233, 1
2.980, 2.03, N/A, , 0.234, 1
3.000, 2.05, N/A, , 0.236, 1
3.020, 2.08, N/A, , 0.238, 1
3.040, 2.07, N/A, , 0.240, 1
3.060, 2.08, N/A, , 0.241, 1
3.080, 2.11, N/A, , 0.243, 1
3.100, 2.10, N/A, , 0.244, 1
3.120, 2.12, N/A, , 0.245, 1
3.140, 2.14, N/A, , 0.247, 1
3.160, 2.17, N/A, , 0.250, 1
3.180, 2.17, N/A, , 0.251, 1
3.200, 2.19, N/A, , 0.253, 1
3.220, 2.21, N/A, , 0.255, 1
3.240, 2.23, N/A, , 0.256, 1
3.260, 2.25, N/A, , 0.257, 1
3.280, 2.24, N/A, , 0.260, 1
3.300, 2.27, N/A, , 0.262, 1
3.320, 2.29, N/A, , 0.262, 1
3.340, 2.30, N/A, , 0.264, 1
3.360, 2.32, N/A, , 0.266, 1
3.380, 2.32, N/A, , 0.267, 1
3.400, 2.35, N/A, , 0.268, 1
3.420, 2.35, N/A, , 0.271, 1
3.440, 2.38, N/A, , 0.273, 1
3.460, 2.40, N/A, , 0.275, 1
3.480, 2.43, N/A, , 0.277, 1
3.500, 2.43, N/A, , 0.279, 1
3.520, 2.46, N/A, , 0.280, 1
3.540, 2.47, N/A, , 0.282, 1
3.560, 2.47, N/A, , 0.284, 1
3.580, 2.51, N/A, , 0.284, 1
3.600, 2.50, N/A, , 0.286, 1
3.620, 2.52, N/A, , 0.288, 1
3.640, 2.54, N/A, , 0.289, 1
3.660, 2.53, N/A, , 0.291, 1
3.680, 2.55, N/A, , 0.293, 1
3.700, 2.56, N/A, , 0.294, 1
3.720, 2.59, N/A, , 0.296, 1
3.740, 2.61, N/A, , 0.298, 1
3.760, 2.62, N/A, , 0.300, 1
3.780, 2.62, N/A, , 0.300, 1
3.800, 2.66, N/A, , 0.302, 1
3.820, 2.67, N/A, , 0.305, 1
3.840, 2.67, N/A, , 0.306, 1
3.860, 2.69, N/A, , 0.307, 1
3.880, 2.72, N/A, , 0.309, 1
3.900, 2.71, N/A, , 0.310, 1
3.920, 2.74, N/A, , 0.311, 1
3.940, 2.75, N/A, , 0.314, 1
3.960, 2.76, N/A, , 0.316, 1
3.980, 2.78, N/A, , 0.317, 1
4.000, 2.82, N/A, , 0.319, 1
4.020, 2.84, N/A, , 0.321, 1
4.040, 2.86, N/A, , 0.322, 1
4.060, 2.86, N/A, , 0.324, 1
4.080, 2.89, N/A, , 0.326, 1
4.100, 2.91, N/A, , 0.328, 1
4.120, 2.91, N/A, , 0.329, 1
4.140, 2.92, N/A, , 0.331, 1
4.160, 2.94, N/A, , 0.333, 1
4.180, 2.95, N/A, , 0.334, 1
4.200, 2.96, N/A, , 0.335, 1
4.220, 2.98, N/A, , 0.338, 1
4.240, 3.02, N/A, , 0.339, 1
4.260, 3.03, N/A, , 0.341, 1
4.280, 3.06, N/A, , 0.343, 1
4.300, 3.08, N/A, , 0.344, 1
4.320, 3.08, N/A, , 0.346, 1
4.340, 3.11, N/A, , 0.348, 1
4.360, 3.12, N/A, , 0.350, 1
4.380, 3.13, N/A, , 0.351, 1
4.400, 3.15, N/A, , 0.353, 1
4.420, 3.18, N/A, , 0.354, 1
4.440, 3.18, N/A, , 0.355, 1
4.460, 3.19, N/A, , 0.357, 1
4.480, 3.22, N/A, , 0.359, 1
4.500, 3.21, N/A, , 0.360, 1
4.520, 3.24, N/A, , 0.362, 1
4.540, 3.26, N/A, , 0.364, 1
4.560, 3.29, N/A, , 0.366, 1
4.580, 3.28, N/A, , 0.367, 1
4.600, 3.33, N/A, , 0.369, 1
4.620, 3.33, N/A, , 0.372, 1
4.640, 3.35, N/A, , 0.373, 1
4.660, 3.37, N/A, , 0.375, 1
4.680, 3.40, N/A, , 0.376, 1
4.700, 3.41, N/A, , 0.377, 1
4.720, 3.44, N/A, , 0.379, 1
4.740, 3.43, N/A, , 0.381, 1
4.760, 3.47, N/A, , 0.383, 1
4.780, 3.48, N/A, , 0.384, 1
4.800, 3.48, N/A, , 0.387, 1
4.820, 3.52, N/A, , 0.388, 1
4.840, 3.53, N/A, , 0.389, 1
4.860, 3.55, N/A, , 0.391, 1
4.880, 3.57, N/A, , 0.394, 1
4.900, 3.59, N/A, , 0.395, 1
4.920, 3.59, N/A, , 0.396, 1
4.940, 3.61, N/A, , 0.398, 1
4.960, 3.64, N/A, , 0.399, 1
4.980, 3.63, N/A, , 0.400, 1
5.000, 3.65, N/A, , 0.402, 1
5.020, 3.70, N/A, , 0.404, 1
5.040, 3.70, N/A, , 0.405, 1
5.060, 3.73, N/A, , 0.408, 1
