Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0003"
"0.1000","0.5504","0.0004"
"0.2000","1.2729","0.0005"
"0.3000","1.9729","0.0008"
"0.4000","2.6583","0.0015"
"0.5000","3.3348","0.0022"
"0.6000","4.0071","0.0028"
"0.7000","4.6765","0.0034"
"0.8000","5.3444","0.0039"
"0.9000","6.0115","0.0044"
"1.0000","6.6785","0.0048"
"1.1000","7.3462","0.0053"
"1.2000","8.0131","0.0057"
"1.3000","8.6804","0.0061"
"1.4000","9.3469","0.0065"
"1.5000","10.0133","0.0068"
"1.6000","10.6790","0.0072"
"1.7000","11.3462","0.0075"
"1.8000","12.0133","0.0079"
"1.9000","12.6806","0.0082"
"2.0000","13.3471","0.0085"
"2.1000","14.0137","0.0088"
"2.2000","14.6800","0.0091"
"2.3000","15.3469","0.0095"
"2.4000","16.0123","0.0097"
"2.5000","16.6792","0.0100"
"2.6000","17.3465","0.0103"
"2.7000","18.0140","0.0106"
"2.8000","18.6806","0.0109"
"2.9000","19.3471","0.0112"
"3.0000","20.0131","0.0114"
"3.1000","20.6792","0.0117"
"3.2000","21.3462","0.0119"
"3.3000","22.0133","0.0122"
"3.4000","22.6804","0.0124"
"3.5000","23.3467","0.0127"
"3.6000","24.0137","0.0129"
"3.7000","24.6802","0.0132"
"3.8000","25.3467","0.0134"
"3.9000","26.0125","0.0136"
"4.0000","26.6794","0.0138"
"4.1000","27.3465","0.0141"
"4.2000","28.0140","0.0143"
"4.3000","28.6806","0.0145"
"4.4000","29.3471","0.0147"
"4.5000","30.0131","0.0149"
"4.6000","30.6798","0.0151"
"4.7000","31.3456","0.0153"
"4.8000","32.0133","0.0155"
"4.9000","32.6802","0.0157"
"5.0000","33.3473","0.0159"
"5.1000","34.0137","0.0161"
"5.2000","34.6802","0.0163"
"5.3000","35.3467","0.0165"
"5.4000","36.0127","0.0167"
"5.5000","36.6794","0.0168"
"5.6000","37.3465","0.0170"
"5.7000","38.0142","0.0172"
"5.8000","38.6804","0.0174"
"5.9000","39.3471","0.0175"
"6.0000","40.0131","0.0177"
"6.1000","40.6794","0.0179"
"6.2000","41.3458","0.0180"
"6.3000","42.0135","0.0182"
"6.4000","42.6802","0.0184"
"6.5000","43.3475","0.0185"
"6.6000","44.0137","0.0187"
"6.7000","44.6804","0.0189"
"6.8000","45.3465","0.0190"
"6.9000","46.0133","0.0192"
"7.0000","46.6787","0.0193"
"7.1000","47.3465","0.0195"
"7.2000","48.0137","0.0196"
"7.3000","48.6806","0.0197"
"7.4000","49.3471","0.0199"
"7.5000","50.0129","0.0200"
"7.6000","50.6794","0.0202"
"7.7000","51.3460","0.0203"
"7.8000","52.0135","0.0205"
"7.9000","52.6804","0.0206"
"8.0000","53.3473","0.0207"
"8.1000","54.0133","0.0209"
"8.2000","54.6802","0.0210"
"8.3000","55.3467","0.0211"
"8.4000","56.0129","0.0213"
"8.5000","56.6790","0.0214"
"8.6000","57.3467","0.0215"
"8.7000","58.0140","0.0217"
"8.8000","58.6810","0.0218"
"8.9000","59.3471","0.0219"
"9.0000","60.0133","0.0220"
"9.1000","60.6792","0.0221"
"9.2000","61.3467","0.0223"
"9.3000","62.0131","0.0224"
"9.4000","62.6804","0.0225"
"9.5000","63.3471","0.0226"
"9.6000","64.0140","0.0227"
"9.7000","64.6802","0.0229"
"9.8000","65.3467","0.0230"
"9.9000","66.0127","0.0231"
"10.0000","66.6794","0.0232"
"10.1000","67.3464","0.0233"
"10.2000","68.0137","0.0234"
"10.3000","68.6808","0.0235"
"10.4000","69.3467","0.0236"
"10.5000","70.0131","0.0237"
"10.6000","70.6792","0.0238"
"10.7000","71.3462","0.0239"
"10.8000","72.0129","0.0240"
"10.9000","72.6804","0.0242"
"11.0000","73.3471","0.0243"
"11.1000","74.0139","0.0244"
"11.2000","74.6802","0.0245"
"11.3000","75.3467","0.0246"
"11.4000","76.0125","0.0247"
"11.5000","76.6800","0.0248"
"11.6000","77.3460","0.0249"
"11.7000","78.0139","0.0250"
"11.8000","78.6806","0.0251"
"11.9000","79.3471","0.0252"
"12.0000","80.0129","0.0253"
"12.1000","80.6792","0.0253"
"12.2000","81.3462","0.0254"
"12.3000","82.0133","0.0255"
"12.4000","82.6804","0.0256"
"12.5000","83.3471","0.0257"
"12.6000","84.0139","0.0258"
"12.7000","84.6798","0.0259"
"12.8000","85.3464","0.0260"
"12.9000","86.0125","0.0261"
"13.0000","86.6796","0.0262"
"13.1000","87.3462","0.0263"
"13.2000","88.0142","0.0264"
"13.3000","88.6808","0.0264"
"13.4000","89.3473","0.0265"
"13.5000","90.0131","0.0266"
"13.6000","90.6794","0.0267"
"13.7000","91.3460","0.0268"
"13.8000","92.0139","0.0269"
"13.9000","92.6800","0.0270"
"14.0000","93.3473","0.0271"
"14.1000","94.0137","0.0271"
"14.2000","94.6804","0.0272"
"14.3000","95.3464","0.0273"
"14.4000","96.0123","0.0274"
"14.5000","96.6794","0.0275"
"14.6000","97.3465","0.0275"
"14.7000","98.0139","0.0276"
"14.8000","98.6808","0.0277"
"14.9000","99.3471","0.0278"
"15.0000","100.0127","0.0279"
"15.1000","100.6792","0.0280"
"15.2000","101.3460","0.0280"
"15.3000","102.0137","0.0281"
"15.4000","102.6800","0.0282"
"15.5000","103.3471","0.0283"
"15.6000","104.0139","0.0283"
"15.7000","104.6804","0.0284"
"15.8000","105.3465","0.0285"
"15.9000","106.0127","0.0286"
"16.0000","106.6789","0.0287"
"16.1000","107.3469","0.0287"
"16.2000","108.0137","0.0288"
"16.3000","108.6808","0.0289"
"16.4000","109.3471","0.0290"
"16.5000","110.0133","0.0290"
"16.6000","110.6789","0.0291"
"16.7000","111.3458","0.0292"
"16.8000","112.0135","0.0293"
"16.9000","112.6804","0.0293"
"17.0000","113.3475","0.0294"
"17.1000","114.0139","0.0295"
"17.2000","114.6806","0.0296"
"17.3000","115.3462","0.0296"
"17.4000","116.0125","0.0297"
"17.5000","116.6792","0.0298"
"17.6000","117.3466","0.0299"
"17.7000","118.0137","0.0299"
"17.8000","118.6810","0.0300"
"17.9000","119.3471","0.0301"
"18.0000","120.0133","0.0301"
