

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
0.000, 0.20, 1, , 0.437, 1
0.020, 0.21, 1, , 0.482, 1
0.040, 0.24, 1, , 0.526, 1
0.060, 0.26, 1, , 0.570, 1
0.080, 0.27, 1, , 0.614, 1
0.100, 0.25, 1, , 0.659, 1
0.120, 0.29, 1, , 0.701, 1
0.140, 0.28, 1, , 0.743, 1
0.160, 0.33, 1, , 0.786, 1
0.180, 0.32, 1, , 0.829, 1
0.200, 0.35, 1, , 0.872, 1
0.220, 0.34, 1, , 0.915, 1
0.240, 0.36, 1, , 0.958, 1
0.260, 0.38, 1, , 1.000, 1
0.280, 0.40, 1, , 1.043, 1
0.300, 0.41, 1, , 1.086, 1
0.320, 0.42, 1, , 1.128, 1
0.340, 0.44, 1, , 1.171, 1
0.360, 0.44, 1, , 1.213, 1
0.380, 0.46, 1, , 1.255, 1
0.400, 0.47, 1, , 1.298, 1
0.420, 0.48, 1, , 1.340, 1
0.440, 0.49, 1, , 0.024, 1
0.460, 0.51, 1, , 0.048, 1
0.480, 0.47, 1, , 0.051, 1
0.500, 0.45, 1, , 0.047, 1
0.520, 0.42, 1, , 0.042, 1
0.540, 0.40, 1, , 0.037, 1
0.560, 0.36, 1, , 0.033, 1
0.580, 0.36, 1, , 0.028, 1
0.600, 0.36, 1, , 0.025, 1
0.620, 0.35, 1, , 0.023, 1
0.640, 0.32, 1, , 0.021, 1
0.660, 0.33, 1, , 0.020, 1
0.680, 0.33, 1, , 0.019, 1
0.700, 0.34, 1, , 0.019, 1
0.720, 0.33, 1, , 0.019, 1
0.740, 0.32, 1, , 0.019, 1
0.760, 0.31, 1, , 0.019, 1
0.780, 0.31, 1, , 0.019, 1
0.800, 0.32, 1, , 0.019, 1
0.820, 0.28, 1, , 0.019, 1
0.840, 0.30, 1, , 0.019, 1
0.860, 0.26, 1, , 0.020, 1
0.880, 0.29, 1, , 0.020, 1
0.900, 0.28, 1, , 0.021, 1
0.920, 0.31, 1, , 0.022, 1
0.940, 0.28, 1, , 0.024, 1
0.960, 0.29, 1, , 0.026, 1
0.980, 0.28, 1, , 0.028, 1
1.000, 0.27, 1, , 0.030, 1
1.020, 0.27, 1, , 0.031, 1
1.040, 0.27, 1, , 0.033, 1
1.060, 0.25, 1, , 0.035, 1
1.080, 0.25, 1, , 0.036, 1
1.100, 0.26, 1, , 0.038, 1
1.120, 0.24, 1, , 0.040, 1
1.140, 0.24, 1, , 0.042, 1
1.160, 0.25, 1, , 0.044, 1
1.180, 0.25, 1, , 0.046, 1
1.200, 0.25, 1, , 0.048, 1
1.220, 0.24, 1, , 0.050, 1
1.240, 0.24, 1, , 0.050, 1
1.260, 0.27, 1, , 0.052, 1
1.280, 0.24, 1, , 0.054, 1
1.300, 0.26, 1, , 0.055, 1
1.320, 0.26, 1, , 0.057, 1
1.340, 0.25, 1, , 0.059, 1
1.360, 0.24, 1, , 0.060, 1
1.380, 0.28, 1, , 0.062, 1
1.400, 0.25, 1, , 0.064, 1
1.420, 0.23, 1, , 0.066, 1
1.440, 0.23, 1, , 0.067, 1
1.460, 0.26, 1, , 0.069, 1
1.480, 0.26, 1, , 0.071, 1
1.500, 0.24, 1, , 0.072, 1
1.520, 0.25, 1, , 0.074, 1
1.540, 0.25, 1, , 0.076, 1
1.560, 0.27, 1, , 0.078, 1
1.580, 0.26, 1, , 0.079, 1
1.600, 0.26, 1, , 0.081, 1
1.620, 0.24, 1, , 0.082, 1
1.640, 0.28, 1, , 0.084, 1
1.660, 0.25, 1, , 0.086, 1
1.680, 0.24, 1, , 0.087, 1
1.700, 0.28, 1, , 0.089, 1
1.720, 0.24, 1, , 0.091, 1
1.740, 0.27, 1, , 0.092, 1
1.760, 0.27, 1, , 0.093, 1
1.780, 0.26, 1, , 0.096, 1
1.800, 0.23, 1, , 0.098, 1
1.820, 0.25, 1, , 0.099, 1
1.840, 0.28, 1, , 0.101, 1
1.860, 0.25, 1, , 0.103, 1
1.880, 0.25, 1, , 0.104, 1
1.900, 0.27, 1, , 0.106, 1
1.920, 0.25, 1, , 0.108, 1
1.940, 0.28, 1, , 0.109, 1
1.960, 0.27, 1, , 0.110, 1
1.980, 0.25, 1, , 0.113, 1
2.000, 0.25, 1, , 0.114, 1
2.020, 0.26, 1, , 0.115, 1
2.040, 0.27, 1, , 0.117, 1
2.060, 0.27, 1, , 0.119, 1
2.080, 0.26, 1, , 0.120, 1
2.100, 0.31, 1, , 0.123, 1
2.120, 0.26, 1, , 0.125, 1
2.140, 0.27, 1, , 0.125, 1
2.160, 0.28, 1, , 0.128, 1
2.180, 0.25, 1, , 0.129, 1
2.200, 0.34, 1, , 0.130, 1
2.220, 0.29, 1, , 0.132, 1
2.240, 0.32, 1, , 0.134, 1
2.260, 0.27, 1, , 0.136, 1
2.280, 0.27, 1, , 0.137, 1
2.300, 0.29, 1, , 0.138, 1
2.320, 0.30, 1, , 0.141, 1
2.340, 0.26, 1, , 0.142, 1
2.360, 0.30, 1, , 0.144, 1
2.380, 0.30, 1, , 0.146, 1
2.400, 0.27, 1, , 0.148, 1
2.420, 0.28, 1, , 0.149, 1
2.440, 0.28, 1, , 0.151, 1
2.460, 0.27, 1, , 0.152, 1
2.480, 0.27, 1, , 0.154, 1
2.500, 0.28, 1, , 0.156, 1
2.520, 0.27, 1, , 0.158, 1
2.540, 0.26, 1, , 0.159, 1
2.560, 0.28, 1, , 0.160, 1
2.580, 0.28, 1, , 0.163, 1
2.600, 0.25, 1, , 0.164, 1
2.620, 0.31, 1, , 0.166, 1
2.640, 0.28, 1, , 0.168, 1
2.660, 0.26, 1, , 0.169, 1
2.680, 0.28, 1, , 0.170, 1
2.700, 0.26, 1, , 0.173, 1
2.720, 0.27, 1, , 0.174, 1
2.740, 0.27, 1, , 0.175, 1
2.760, 0.28, 1, , 0.177, 1
2.780, 0.27, 1, , 0.180, 1
2.800, 0.28, 1, , 0.181, 1
2.820, 0.28, 1, , 0.182, 1
2.840, 0.33, 1, , 0.184, 1
2.860, 0.26, 1, , 0.186, 1
2.880, 0.28, 1, , 0.187, 1
2.900, 0.26, 1, , 0.189, 1
2.920, 0.28, 1, , 0.191, 1
2.940, 0.27, 1, , 0.192, 1
2.960, 0.30, 1, , 0.194, 1
2.980, 0.24, 1, , 0.196, 1
3.000, 0.29, 1, , 0.197, 1
3.020, 0.29, 1, , 0.199, 1
3.040, 0.30, 1, , 0.201, 1
3.060, 0.28, 1, , 0.202, 1
3.080, 0.28, 1, , 0.204, 1
3.100, 0.27, 1, , 0.205, 1
3.120, 0.29, 1, , 0.208, 1
3.140, 0.28, 1, , 0.209, 1
3.160, 0.31, 1, , 0.211, 1
