

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
0.000, 6.17, N/A, , 0.000, 1
0.020, -0.10, N/A, , 0.001, 1
0.040, -0.07, N/A, , 0.001, 1
0.060, -0.04, N/A, , 0.002, 1
0.080, -0.05, N/A, , 0.003, 1
0.100, -0.05, N/A, , 0.003, 1
0.120, -0.03, N/A, , 0.003, 1
0.140, -0.06, N/A, , 0.003, 1
0.160, -0.01, N/A, , 0.003, 1
0.180, -0.05, N/A, , 0.003, 1
0.200, -0.06, N/A, , 0.004, 1
0.220, -0.02, N/A, , 0.004, 1
0.240, -0.01, N/A, , 0.004, 1
0.260, -0.04, N/A, , 0.005, 1
0.280, 0.02, N/A, , 0.007, 1
0.300, 0.03, N/A, , 0.007, 1
0.320, 0.03, N/A, , 0.009, 1
0.340, 0.07, N/A, , 0.011, 1
0.360, 0.08, N/A, , 0.013, 1
0.380, 0.09, N/A, , 0.014, 1
0.400, 0.11, N/A, , 0.014, 1
0.420, 0.12, N/A, , 0.016, 1
0.440, 0.15, N/A, , 0.018, 1
0.460, 0.16, N/A, , 0.020, 1
0.480, 0.16, N/A, , 0.021, 1
0.500, 0.18, N/A, , 0.023, 1
0.520, 0.22, N/A, , 0.024, 1
0.540, 0.19, N/A, , 0.026, 1
0.560, 0.26, N/A, , 0.028, 1
0.580, 0.27, N/A, , 0.030, 1
0.600, 0.27, N/A, , 0.033, 1
0.620, 0.32, N/A, , 0.035, 1
0.640, 0.33, N/A, , 0.036, 1
0.660, 0.32, N/A, , 0.038, 1
0.680, 0.37, N/A, , 0.040, 1
0.700, 0.37, N/A, , 0.042, 1
0.720, 0.37, N/A, , 0.043, 1
0.740, 0.41, N/A, , 0.045, 1
0.760, 0.42, N/A, , 0.048, 1
0.780, 0.43, N/A, , 0.049, 1
0.800, 0.47, N/A, , 0.050, 1
0.820, 0.44, N/A, , 0.052, 1
0.840, 0.49, N/A, , 0.055, 1
0.860, 0.51, N/A, , 0.056, 1
0.880, 0.52, N/A, , 0.058, 1
0.900, 0.52, N/A, , 0.060, 1
0.920, 0.56, N/A, , 0.062, 1
0.940, 0.57, N/A, , 0.064, 1
0.960, 0.59, N/A, , 0.065, 1
0.980, 0.61, N/A, , 0.066, 1
1.000, 0.60, N/A, , 0.068, 1
1.020, 0.61, N/A, , 0.069, 1
1.040, 0.63, N/A, , 0.071, 1
1.060, 0.64, N/A, , 0.072, 1
1.080, 0.67, N/A, , 0.074, 1
1.100, 0.67, N/A, , 0.076, 1
1.120, 0.70, N/A, , 0.078, 1
1.140, 0.71, N/A, , 0.080, 1
1.160, 0.71, N/A, , 0.081, 1
1.180, 0.72, N/A, , 0.083, 1
1.200, 0.77, N/A, , 0.085, 1
1.220, 0.78, N/A, , 0.087, 1
1.240, 0.77, N/A, , 0.087, 1
1.260, 0.82, N/A, , 0.089, 1
1.280, 0.81, N/A, , 0.091, 1
1.300, 0.82, N/A, , 0.092, 1
1.320, 0.85, N/A, , 0.093, 1
1.340, 0.84, N/A, , 0.096, 1
1.360, 0.90, N/A, , 0.098, 1
1.380, 0.91, N/A, , 0.100, 1
1.400, 0.89, N/A, , 0.101, 1
1.420, 0.93, N/A, , 0.103, 1
1.440, 0.95, N/A, , 0.106, 1
1.460, 0.96, N/A, , 0.107, 1
1.480, 0.99, N/A, , 0.107, 1
1.500, 0.97, N/A, , 0.109, 1
1.520, 0.97, N/A, , 0.111, 1
1.540, 1.03, N/A, , 0.113, 1
1.560, 1.00, N/A, , 0.114, 1
1.580, 1.02, N/A, , 0.116, 1
1.600, 1.08, N/A, , 0.118, 1
1.620, 1.05, N/A, , 0.119, 1
1.640, 1.06, N/A, , 0.121, 1
1.660, 1.10, N/A, , 0.123, 1
1.680, 1.07, N/A, , 0.124, 1
1.700, 1.11, N/A, , 0.126, 1
1.720, 1.14, N/A, , 0.128, 1
1.740, 1.13, N/A, , 0.130, 1
1.760, 1.17, N/A, , 0.131, 1
1.780, 1.17, N/A, , 0.132, 1
1.800, 1.18, N/A, , 0.134, 1
1.820, 1.21, N/A, , 0.135, 1
1.840, 1.21, N/A, , 0.137, 1
1.860, 1.21, N/A, , 0.139, 1
1.880, 1.25, N/A, , 0.141, 1
1.900, 1.27, N/A, , 0.144, 1
1.920, 1.27, N/A, , 0.144, 1
1.940, 1.30, N/A, , 0.146, 1
1.960, 1.31, N/A, , 0.148, 1
1.980, 1.33, N/A, , 0.150, 1
2.000, 1.35, N/A, , 0.152, 1
2.020, 1.36, N/A, , 0.153, 1
2.040, 1.38, N/A, , 0.155, 1
2.060, 1.40, N/A, , 0.156, 1
2.080, 1.38, N/A, , 0.157, 1
2.100, 1.41, N/A, , 0.159, 1
2.120, 1.42, N/A, , 0.160, 1
2.140, 1.41, N/A, , 0.162, 1
2.160, 1.46, N/A, , 0.164, 1
2.180, 1.49, N/A, , 0.167, 1
2.200, 1.50, N/A, , 0.168, 1
2.220, 1.51, N/A, , 0.169, 1
2.240, 1.51, N/A, , 0.171, 1
2.260, 1.52, N/A, , 0.173, 1
2.280, 1.55, N/A, , 0.175, 1
2.300, 1.56, N/A, , 0.176, 1
2.320, 1.57, N/A, , 0.178, 1
2.340, 1.59, N/A, , 0.179, 1
2.360, 1.60, N/A, , 0.180, 1
2.380, 1.59, N/A, , 0.182, 1
2.400, 1.65, N/A, , 0.184, 1
2.420, 1.67, N/A, , 0.186, 1
2.440, 1.65, N/A, , 0.188, 1
2.460, 1.73, N/A, , 0.190, 1
2.480, 1.70, N/A, , 0.191, 1
2.500, 1.72, N/A, , 0.193, 1
2.520, 1.76, N/A, , 0.195, 1
2.540, 1.77, N/A, , 0.197, 1
2.560, 1.78, N/A, , 0.198, 1
2.580, 1.79, N/A, , 0.200, 1
2.600, 1.78, N/A, , 0.201, 1
2.620, 1.80, N/A, , 0.202, 1
2.640, 1.81, N/A, , 0.204, 1
2.660, 1.82, N/A, , 0.206, 1
2.680, 1.86, N/A, , 0.208, 1
2.700, 1.87, N/A, , 0.209, 1
2.720, 1.87, N/A, , 0.211, 1
2.740, 1.91, N/A, , 0.213, 1
2.760, 1.91, N/A, , 0.214, 1
2.780, 1.92, N/A, , 0.216, 1
2.800, 1.97, N/A, , 0.218, 1
2.820, 1.97, N/A, , 0.220, 1
2.840, 1.96, N/A, , 0.221, 1
2.860, 1.99, N/A, , 0.223, 1
2.880, 1.99, N/A, , 0.224, 1
2.900, 2.02, N/A, , 0.225, 1
2.920, 2.02, N/A, , 0.227, 1
2.940, 2.04, N/A, , 0.230, 1
2.960, 2.07, N/A, , 0.232, 1
2.980, 2.09, N/A, , 0.233, 1
3.000, 2.08, N/A, , 0.235, 1
3.020, 2.14, N/A, , 0.237, 1
3.040, 2.15, N/A, , 0.239, 1
3.060, 2.14, N/A, , 0.240, 1
3.080, 2.16, N/A, , 0.241, 1
3.100, 2.19, N/A, , 0.243, 1
3.120, 2.20, N/A, , 0.245, 1
3.140, 2.22, N/A, , 0.246, 1
3.160, 2.21, N/A, , 0.248, 1
3.180, 2.24, N/A, , 0.250, 1
3.200, 2.27, N/A, , 0.252, 1
3.220, 2.26, N/A, , 0.254, 1
3.240, 2.28, N/A, , 0.255, 1
3.260, 2.33, N/A, , 0.257, 1
3.280, 2.31, N/A, , 0.258, 1
3.300, 2.32, N/A, , 0.259, 1
3.320, 2.35, N/A, , 0.261, 1
3.340, 2.36, N/A, , 0.263, 1
3.360, 2.39, N/A, , 0.264, 1
3.380, 2.39, N/A, , 0.265, 1
3.400, 2.40, N/A, , 0.267, 1
3.420, 2.43, N/A, , 0.268, 1
3.440, 2.44, N/A, , 0.270, 1
3.460, 2.47, N/A, , 0.273, 1
3.480, 2.50, N/A, , 0.275, 1
3.500, 2.50, N/A, , 0.277, 1
3.520, 2.52, N/A, , 0.278, 1
3.540, 2.53, N/A, , 0.280, 1
3.560, 2.55, N/A, , 0.282, 1
3.580, 2.58, N/A, , 0.284, 1
3.600, 2.59, N/A, , 0.285, 1
3.620, 2.60, N/A, , 0.286, 1
3.640, 2.60, N/A, , 0.288, 1
3.660, 2.64, N/A, , 0.289, 1
3.680, 2.62, N/A, , 0.290, 1
3.700, 2.65, N/A, , 0.292, 1
3.720, 2.68, N/A, , 0.293, 1
3.740, 2.67, N/A, , 0.295, 1
3.760, 2.70, N/A, , 0.297, 1
3.780, 2.74, N/A, , 0.300, 1
3.800, 2.75, N/A, , 0.301, 1
3.820, 2.76, N/A, , 0.302, 1
3.840, 2.78, N/A, , 0.304, 1
3.860, 2.78, N/A, , 0.306, 1
3.880, 2.81, N/A, , 0.308, 1
3.900, 2.83, N/A, , 0.309, 1
3.920, 2.83, N/A, , 0.311, 1
3.940, 2.86, N/A, , 0.312, 1
3.960, 2.85, N/A, , 0.313, 1
3.980, 2.88, N/A, , 0.315, 1
4.000, 2.90, N/A, , 0.318, 1
4.020, 2.94, N/A, , 0.320, 1
4.040, 2.93, N/A, , 0.321, 1
4.060, 2.97, N/A, , 0.323, 1
4.080, 2.98, N/A, , 0.325, 1
4.100, 3.00, N/A, , 0.327, 1
4.120, 3.02, N/A, , 0.328, 1
4.140, 3.01, N/A, , 0.329, 1
